ID	LENGTH	GC	COVERAGE	ORF_COUNT	ORF_PER_KB	ORF_MEAN	ORF_MEDIAN	ORF_PLUS_STRAND_RATIO	INTERGENIC_MEAN	INTERGENIC_MEDIAN	FRACTION_OVERLAPPING_ORFS
scaffold_47	259159	19.76	1	141	0.54	0.736	0.354	1.136	602.00	602.00	0.01
scaffold_48	258501	18.15	1	162	0.63	0.542	0.246	1.051	646.00	646.00	0.02
scaffold_49	256267	18.16	1	182	0.71	0.512	0.237	0.701	468.00	468.00	0.03
scaffold_50	255286	18.93	1	150	0.59	0.636	0.224	0.948	575.00	575.00	0.03
scaffold_51	253126	18.77	1	159	0.63	0.561	0.237	1.695	514.00	514.00	0.03
scaffold_52	249707	19.30	1	163	0.65	0.490	0.243	1.203	498.00	498.00	0.04
scaffold_53	249569	19.59	1	138	0.55	0.636	0.246	0.944	770.50	770.50	0.03
scaffold_54	247203	19.51	1	159	0.64	0.562	0.249	0.807	656.00	656.00	0.04
scaffold_55	245860	18.64	1	154	0.63	0.493	0.249	1.139	602.00	602.00	0.03
scaffold_56	244852	18.97	1	153	0.62	0.541	0.264	0.987	675.00	675.00	0.05
scaffold_57	243043	18.19	1	157	0.65	0.535	0.261	1.243	589.50	589.50	0.06
scaffold_58	242736	18.55	1	182	0.75	0.453	0.230	1.333	486.50	486.50	0.07
scaffold_59	242685	18.35	1	162	0.67	0.595	0.301	1.051	461.50	461.50	0.02
scaffold_60	241694	18.13	1	128	0.53	0.567	0.200	1.133	441.00	441.00	0.03
scaffold_61	241686	19.34	1	194	0.80	0.436	0.216	0.830	499.00	499.00	0.03
scaffold_62	235818	21.65	1	167	0.71	0.612	0.246	0.815	656.00	656.00	0.04
scaffold_63	234652	19.41	1	112	0.48	0.786	0.314	0.778	684.50	684.50	0.04
scaffold_64	232131	20.71	1	103	0.44	0.890	0.384	0.981	1006.00	1006.00	0.04
scaffold_65	230872	17.12	1	134	0.58	0.588	0.264	0.787	732.00	732.00	0.02
scaffold_66	229383	18.96	1	166	0.72	0.565	0.228	0.766	583.00	583.00	0.02
scaffold_67	228462	18.70	1	159	0.70	0.476	0.240	0.767	511.00	511.00	0.02
scaffold_68	226842	16.28	1	127	0.56	0.481	0.249	1.228	1149.00	1149.00	0.03
scaffold_69	226040	17.83	1	128	0.57	0.659	0.282	0.542	962.50	962.50	0.03
scaffold_70	226016	19.56	1	116	0.51	0.680	0.241	1.189	639.50	639.50	0.00
scaffold_71	224042	17.85	1	151	0.67	0.498	0.255	1.288	457.50	457.50	0.01
scaffold_72	222218	19.37	1	132	0.59	0.643	0.258	1.000	814.00	814.00	0.09
scaffold_73	221002	18.79	1	146	0.66	0.478	0.235	1.116	654.50	654.50	0.04
scaffold_74	219855	18.01	1	134	0.61	0.488	0.254	0.887	643.00	643.00	0.04
scaffold_75	215559	19.63	1	107	0.50	0.709	0.324	1.058	679.00	679.00	0.06
scaffold_76	215064	18.00	1	145	0.67	0.463	0.243	0.629	591.50	591.50	0.02
scaffold_77	214577	17.79	1	130	0.61	0.431	0.224	0.585	576.50	576.50	0.06
scaffold_78	212812	19.00	1	111	0.52	0.649	0.276	1.643	695.00	695.00	0.03
scaffold_79	210661	19.27	1	153	0.73	0.534	0.258	0.700	568.50	568.50	0.05
scaffold_80	208158	19.35	1	135	0.65	0.608	0.294	1.250	600.00	600.00	0.04
scaffold_81	206855	18.18	1	158	0.76	0.468	0.264	0.681	547.00	547.00	0.04
scaffold_82	206697	18.93	1	139	0.67	0.445	0.222	0.931	637.00	637.00	0.07
scaffold_83	206088	17.71	1	127	0.62	0.610	0.240	1.490	717.50	717.50	0.07
scaffold_84	206033	20.86	1	92	0.45	0.849	0.435	0.878	1245.50	1245.50	0.09
scaffold_85	205721	19.50	1	101	0.49	0.795	0.408	0.603	1025.00	1025.00	0.06
scaffold_86	205604	18.07	1	120	0.58	0.576	0.270	1.449	749.00	749.00	0.03
scaffold_87	203238	18.06	1	150	0.74	0.429	0.222	1.206	583.00	583.00	0.03
scaffold_88	201507	17.60	1	129	0.64	0.400	0.219	0.767	924.00	924.00	0.06
scaffold_89	201448	19.53	1	114	0.57	0.581	0.274	2.677	535.00	535.00	0.10
scaffold_90	200913	20.67	1	113	0.56	0.848	0.276	1.354	592.00	592.00	0.04
scaffold_91	200448	19.35	1	125	0.62	0.570	0.243	0.923	630.00	630.00	0.04
scaffold_92	199557	19.82	1	143	0.72	0.587	0.204	0.986	523.00	523.00	0.03
scaffold_93	199344	20.33	1	113	0.57	0.663	0.234	1.404	625.00	625.00	0.04
scaffold_94	197435	20.51	1	154	0.78	0.518	0.233	1.369	440.50	440.50	0.04
scaffold_95	195754	18.40	1	156	0.80	0.364	0.219	2.059	513.00	513.00	0.03
scaffold_96	195140	20.54	1	165	0.85	0.453	0.228	1.200	449.00	449.00	0.03
scaffold_97	193899	18.28	1	100	0.52	0.696	0.380	1.222	764.50	764.50	0.04
scaffold_98	193555	18.63	1	129	0.67	0.503	0.225	2.146	651.50	651.50	0.04
scaffold_99	192980	18.78	1	170	0.88	0.449	0.249	0.977	424.00	424.00	0.04
scaffold_100	192897	18.78	1	100	0.52	0.951	0.283	0.562	496.50	496.50	0.12
scaffold_101	191557	20.42	1	125	0.65	0.629	0.276	1.049	505.50	505.50	0.06
scaffold_102	191491	17.90	1	151	0.79	0.421	0.252	0.987	494.00	494.00	0.06
scaffold_103	190723	19.06	1	135	0.71	0.550	0.336	0.824	561.50	561.50	0.07
scaffold_104	189579	21.35	1	117	0.62	0.707	0.309	0.560	573.00	573.00	0.08
scaffold_105	189540	18.94	1	107	0.56	0.610	0.306	0.646	723.00	723.00	0.00
scaffold_106	189298	19.67	1	107	0.57	0.761	0.282	0.877	719.00	719.00	0.06
scaffold_107	188501	18.37	1	101	0.54	0.634	0.264	2.607	846.50	846.50	0.03
scaffold_108	188320	17.69	1	104	0.55	0.472	0.260	0.677	760.00	760.00	0.02
scaffold_109	188119	18.70	1	127	0.68	0.459	0.243	0.868	596.00	596.00	0.02
scaffold_110	187412	19.76	1	135	0.72	0.582	0.270	0.901	463.00	463.00	0.04
scaffold_111	186012	18.11	1	144	0.77	0.473	0.264	1.182	495.00	495.00	0.03
scaffold_112	185728	18.54	1	116	0.62	0.592	0.235	0.966	563.00	563.00	0.03
scaffold_113	185158	18.94	1	96	0.52	0.713	0.430	0.524	1002.00	1002.00	0.04
scaffold_114	182034	19.68	1	127	0.70	0.472	0.210	1.190	635.00	635.00	0.04
scaffold_115	180904	24.60	1	82	0.45	1.051	0.566	0.864	747.00	747.00	0.06
scaffold_116	180822	20.23	1	102	0.56	0.663	0.210	0.821	605.00	605.00	0.01
scaffold_117	179820	18.77	1	140	0.78	0.418	0.230	0.818	465.00	465.00	0.01
scaffold_118	179684	18.30	1	107	0.60	0.551	0.240	1.019	561.00	561.00	0.00
scaffold_119	179268	18.33	1	117	0.65	0.436	0.213	1.053	710.50	710.50	0.04
scaffold_120	178951	19.12	1	80	0.45	0.653	0.291	1.000	1128.00	1128.00	0.06
scaffold_121	178683	20.46	1	131	0.73	0.623	0.282	2.047	431.50	431.50	0.05
scaffold_122	178660	24.61	1	81	0.45	0.952	0.564	0.500	953.00	953.00	0.07
scaffold_123	178561	20.37	1	111	0.62	0.841	0.285	0.442	556.00	556.00	0.07
scaffold_124	177458	18.90	1	152	0.86	0.420	0.269	1.492	437.00	437.00	0.05
scaffold_125	176846	18.89	1	142	0.80	0.509	0.224	0.919	464.00	464.00	0.02
scaffold_126	176503	19.22	1	124	0.70	0.499	0.230	1.000	461.00	461.00	0.02
scaffold_127	176245	20.10	1	109	0.62	0.601	0.258	0.627	545.50	545.50	0.03
scaffold_128	176091	20.48	1	121	0.69	0.680	0.258	1.327	478.00	478.00	0.10
scaffold_129	175402	20.34	1	106	0.60	0.654	0.243	0.767	680.00	680.00	0.05
scaffold_130	175158	18.91	1	102	0.58	0.556	0.230	0.700	667.00	667.00	0.07
scaffold_131	173587	17.60	1	91	0.52	0.584	0.264	1.459	1004.00	1004.00	0.07
scaffold_132	169215	18.63	1	135	0.80	0.363	0.207	0.421	515.50	515.50	0.05
scaffold_133	168182	18.11	1	141	0.84	0.440	0.237	0.410	408.50	408.50	0.02
scaffold_134	167476	23.54	1	78	0.47	0.999	0.389	0.560	618.00	618.00	0.08
scaffold_135	167222	18.27	1	110	0.66	0.495	0.238	1.558	404.00	404.00	0.02
scaffold_136	166523	18.78	1	122	0.73	0.604	0.210	0.605	533.00	533.00	0.05
scaffold_137	165552	19.66	1	89	0.54	0.624	0.240	0.854	800.00	800.00	0.03
scaffold_138	164782	17.71	1	135	0.82	0.488	0.255	0.824	472.50	472.50	0.04
scaffold_139	164175	18.60	1	121	0.74	0.478	0.210	0.551	524.50	524.50	0.02
scaffold_140	163829	17.50	1	88	0.54	0.676	0.295	1.839	985.00	985.00	0.01
scaffold_141	163695	18.31	1	124	0.76	0.441	0.243	2.024	509.00	509.00	0.04
scaffold_142	162402	18.05	1	131	0.81	0.430	0.225	0.955	379.00	379.00	0.02
scaffold_143	161106	19.17	1	95	0.59	0.607	0.291	0.638	625.00	625.00	0.02
scaffold_144	161083	19.78	1	92	0.57	0.628	0.297	1.044	636.50	636.50	0.02
scaffold_145	160424	25.79	1	85	0.53	0.989	0.543	0.889	459.00	459.00	0.05
scaffold_146	160290	16.91	1	82	0.51	0.718	0.272	3.556	1144.00	1144.00	0.04
scaffold_147	159580	18.47	1	152	0.95	0.389	0.224	1.338	443.00	443.00	0.05
scaffold_148	159345	18.90	1	110	0.69	0.444	0.211	1.340	593.50	593.50	0.04
scaffold_149	159022	18.06	1	121	0.76	0.496	0.270	0.613	554.00	554.00	0.01
scaffold_150	157214	17.17	1	109	0.69	0.335	0.198	1.180	592.50	592.50	0.01
scaffold_151	156377	19.27	1	103	0.66	0.605	0.306	2.029	587.00	587.00	0.06
scaffold_152	155797	18.65	1	115	0.74	0.466	0.228	1.130	452.00	452.00	0.03
scaffold_153	155286	18.69	1	103	0.66	0.484	0.210	1.943	672.00	672.00	0.03
scaffold_154	155277	18.54	1	104	0.67	0.511	0.278	1.213	657.50	657.50	0.06
scaffold_155	154291	19.00	1	119	0.77	0.450	0.234	1.052	452.00	452.00	0.03
scaffold_156	153568	19.43	1	94	0.61	0.594	0.249	1.136	477.00	477.00	0.01
scaffold_157	153427	18.63	1	95	0.62	0.615	0.261	1.021	734.50	734.50	0.03
scaffold_158	153333	18.87	1	91	0.59	0.564	0.273	2.250	531.00	531.00	0.05
scaffold_159	153108	18.39	1	109	0.71	0.419	0.213	1.595	724.50	724.50	0.06
scaffold_160	152722	18.96	1	72	0.47	0.787	0.255	0.800	724.00	724.00	0.07
scaffold_161	152420	18.71	1	88	0.58	0.721	0.404	0.222	740.00	740.00	0.12
scaffold_162	152141	20.39	1	97	0.64	0.585	0.243	0.702	671.00	671.00	0.03
scaffold_163	151228	17.71	1	121	0.80	0.427	0.231	1.283	391.00	391.00	0.02
scaffold_164	151121	18.20	1	112	0.74	0.425	0.230	1.036	590.50	590.50	0.04
scaffold_165	149320	18.65	1	79	0.53	0.627	0.258	1.194	861.00	861.00	0.05
scaffold_166	148533	19.68	1	105	0.71	0.620	0.228	1.442	418.50	418.50	0.05
scaffold_167	147063	16.87	1	94	0.64	0.441	0.222	1.043	734.00	734.00	0.06
scaffold_168	146452	18.47	1	88	0.60	0.667	0.219	1.200	698.50	698.50	0.07
scaffold_169	145841	18.00	1	99	0.68	0.429	0.222	0.623	519.00	519.00	0.01
scaffold_170	145443	18.29	1	132	0.91	0.373	0.246	0.941	335.00	335.00	0.05
scaffold_171	145097	18.75	1	104	0.72	0.541	0.247	1.419	461.50	461.50	0.06
scaffold_172	144984	16.83	1	91	0.63	0.443	0.216	0.936	900.00	900.00	0.07
scaffold_173	144650	19.58	1	81	0.56	0.637	0.300	0.500	950.00	950.00	0.02
scaffold_174	143876	18.74	1	104	0.72	0.498	0.273	0.857	452.00	452.00	0.03
scaffold_175	143568	18.00	1	103	0.72	0.333	0.186	1.512	782.00	782.00	0.05
scaffold_176	143150	20.04	1	84	0.59	0.629	0.263	1.897	632.50	632.50	0.00
scaffold_177	142859	17.76	1	91	0.64	0.440	0.210	1.459	593.00	593.00	0.01
scaffold_178	142164	21.46	1	57	0.40	1.160	0.441	1.192	366.00	366.00	0.04
scaffold_179	141799	17.69	1	132	0.93	0.313	0.205	1.538	467.00	467.00	0.06
scaffold_180	141717	20.11	1	111	0.78	0.512	0.261	0.609	535.00	535.00	0.05
scaffold_181	141489	25.74	1	78	0.55	0.878	0.429	1.516	523.00	523.00	0.09
scaffold_182	140812	18.33	1	105	0.75	0.507	0.204	0.615	509.50	509.50	0.01
scaffold_183	140624	18.83	1	77	0.55	0.711	0.417	0.540	582.00	582.00	0.06
scaffold_184	140500	18.28	1	79	0.56	0.483	0.246	2.038	653.00	653.00	0.03
scaffold_185	140392	18.35	1	91	0.65	0.578	0.261	1.333	586.00	586.00	0.07
scaffold_186	139599	19.00	1	98	0.70	0.430	0.198	1.000	755.50	755.50	0.02
scaffold_187	139499	18.42	1	85	0.61	0.705	0.300	0.889	720.00	720.00	0.07
scaffold_188	138964	19.09	1	100	0.72	0.529	0.238	0.852	453.00	453.00	0.03
scaffold_189	138689	19.62	1	77	0.56	0.654	0.324	1.265	909.50	909.50	0.04
scaffold_190	137332	21.75	1	85	0.62	0.787	0.354	0.574	577.00	577.00	0.07
scaffold_191	136756	20.50	1	82	0.60	0.757	0.402	2.037	636.00	636.00	0.09
scaffold_192	136645	18.59	1	79	0.58	0.574	0.267	0.717	535.00	535.00	0.03
scaffold_193	136618	18.69	1	70	0.51	0.658	0.367	0.707	934.00	934.00	0.04
scaffold_194	136537	17.85	1	88	0.64	0.520	0.315	0.725	767.00	767.00	0.02
scaffold_195	135840	18.04	1	81	0.60	0.525	0.246	0.761	541.00	541.00	0.00
scaffold_196	135764	19.33	1	86	0.63	0.587	0.254	1.529	624.50	624.50	0.02
scaffold_197	135597	19.10	1	75	0.55	0.677	0.228	0.923	924.50	924.50	0.04
scaffold_198	135502	18.54	1	85	0.63	0.461	0.207	0.604	904.00	904.00	0.07
scaffold_199	135426	19.44	1	91	0.67	0.535	0.342	0.319	851.00	851.00	0.11
scaffold_200	134931	18.84	1	81	0.60	0.508	0.252	0.884	906.00	906.00	0.05
scaffold_201	134490	23.03	1	64	0.48	0.951	0.507	0.882	451.00	451.00	0.05
scaffold_202	134391	17.43	1	100	0.74	0.413	0.243	0.724	555.00	555.00	0.03
scaffold_203	134167	20.06	1	58	0.43	1.115	0.354	0.933	628.00	628.00	0.09
scaffold_204	133420	19.43	1	85	0.64	0.665	0.312	0.809	516.00	516.00	0.08
scaffold_205	133393	18.53	1	77	0.58	0.524	0.231	1.265	609.00	609.00	0.01
scaffold_206	132568	18.76	1	110	0.83	0.646	0.225	1.075	301.00	301.00	0.05
scaffold_207	132351	19.91	1	89	0.67	0.654	0.255	1.225	461.00	461.00	0.02
scaffold_208	132039	19.11	1	78	0.59	0.551	0.258	1.229	837.50	837.50	0.03
scaffold_209	131453	19.47	1	101	0.77	0.489	0.195	1.020	509.50	509.50	0.03
scaffold_210	131358	19.03	1	76	0.58	0.590	0.244	0.767	622.50	622.50	0.05
scaffold_211	130918	19.12	1	96	0.73	0.513	0.240	0.524	365.00	365.00	0.03
scaffold_212	130295	18.70	1	107	0.82	0.477	0.231	1.378	514.00	514.00	0.04
scaffold_213	129936	17.12	1	64	0.49	0.539	0.280	2.556	1383.00	1383.00	0.05
scaffold_214	129448	19.71	1	59	0.46	0.776	0.405	1.950	1043.00	1043.00	0.05
scaffold_215	129351	19.60	1	80	0.62	0.567	0.201	1.051	613.00	613.00	0.04
scaffold_216	127376	17.87	1	83	0.65	0.483	0.228	1.441	619.00	619.00	0.02
scaffold_217	126903	20.10	1	90	0.71	0.545	0.251	1.195	640.00	640.00	0.04
scaffold_218	126479	22.16	1	41	0.32	1.277	0.339	0.367	913.00	913.00	0.05
scaffold_219	126332	17.45	1	46	0.36	0.890	0.273	5.571	904.00	904.00	0.07
scaffold_220	126141	18.74	1	96	0.76	0.425	0.217	0.574	470.50	470.50	0.08
scaffold_221	125945	21.11	1	74	0.59	0.953	0.304	1.176	451.00	451.00	0.08
scaffold_222	125430	18.04	1	80	0.64	0.483	0.282	0.633	529.50	529.50	0.05
scaffold_223	125107	16.79	1	82	0.66	0.463	0.221	0.822	694.50	694.50	0.07
scaffold_224	124898	20.24	1	68	0.54	0.554	0.230	1.061	913.00	913.00	0.06
scaffold_225	124572	18.52	1	69	0.55	0.712	0.264	1.300	648.00	648.00	0.00
scaffold_226	123706	18.33	1	86	0.70	0.502	0.247	0.870	571.00	571.00	0.06
scaffold_227	123262	18.51	1	84	0.68	0.539	0.240	1.049	418.50	418.50	0.00
scaffold_228	122872	17.74	1	83	0.68	0.416	0.231	1.306	529.00	529.00	0.02
scaffold_229	121327	20.07	1	99	0.82	0.478	0.207	1.062	638.00	638.00	0.02
scaffold_230	121286	20.34	1	69	0.57	0.724	0.309	1.226	691.00	691.00	0.03
scaffold_231	121278	18.53	1	68	0.56	0.584	0.360	1.429	861.00	861.00	0.06
scaffold_232	120969	19.36	1	67	0.55	0.570	0.315	0.523	823.00	823.00	0.04
scaffold_233	120737	18.38	1	54	0.45	0.732	0.214	0.929	818.00	818.00	0.02
scaffold_234	120651	25.09	1	56	0.46	1.111	0.588	0.647	662.00	662.00	0.16
scaffold_235	120538	22.12	1	73	0.61	0.712	0.357	1.147	569.50	569.50	0.10
scaffold_236	120477	16.20	1	98	0.81	0.354	0.213	1.513	662.50	662.50	0.02
scaffold_237	120349	19.91	1	89	0.74	0.536	0.219	1.618	509.00	509.00	0.02
scaffold_238	119636	18.67	1	69	0.58	0.535	0.195	0.865	806.00	806.00	0.04
scaffold_239	119540	17.84	1	111	0.93	0.328	0.213	0.881	399.00	399.00	0.04
scaffold_240	119341	19.08	1	65	0.54	0.592	0.255	0.585	678.50	678.50	0.05
scaffold_241	119052	19.19	1	80	0.67	0.504	0.309	1.000	612.50	612.50	0.10
scaffold_242	118404	20.72	1	65	0.55	0.644	0.231	1.241	567.00	567.00	0.03
scaffold_243	117976	17.61	1	116	0.98	0.365	0.183	2.867	330.00	330.00	0.01
scaffold_244	117832	19.24	1	107	0.91	0.464	0.279	0.529	352.50	352.50	0.05
scaffold_245	117808	19.35	1	95	0.81	0.436	0.222	0.900	485.00	485.00	0.01
scaffold_246	117645	18.35	1	78	0.66	0.629	0.277	0.814	787.00	787.00	0.18
scaffold_247	117426	18.08	1	71	0.60	0.513	0.246	0.511	453.50	453.50	0.01
scaffold_248	117328	17.85	1	74	0.63	0.473	0.231	1.176	587.00	587.00	0.01
scaffold_249	117325	18.58	1	70	0.60	0.547	0.255	1.917	523.00	523.00	0.03
scaffold_250	116279	18.97	1	98	0.84	0.399	0.231	0.782	587.50	587.50	0.04
scaffold_251	116064	18.52	1	68	0.59	0.681	0.233	0.478	573.50	573.50	0.03
scaffold_252	115240	18.95	1	70	0.61	0.680	0.354	1.500	780.00	780.00	0.04
scaffold_253	114803	19.66	1	66	0.57	0.672	0.339	0.833	553.00	553.00	0.08
scaffold_254	114445	19.97	1	45	0.39	0.989	0.453	1.500	1066.50	1066.50	0.02
scaffold_255	113719	17.76	1	69	0.61	0.504	0.249	2.000	719.00	719.00	0.00
scaffold_256	113278	17.94	1	69	0.61	0.735	0.339	1.226	631.00	631.00	0.03
scaffold_257	113043	26.48	1	47	0.42	1.187	0.768	0.808	754.50	754.50	0.06
scaffold_258	112355	18.43	1	101	0.90	0.349	0.186	1.525	445.00	445.00	0.04
scaffold_259	112065	19.09	1	55	0.49	0.654	0.264	1.750	610.00	610.00	0.13
scaffold_260	111876	17.91	1	82	0.73	0.440	0.234	0.952	658.00	658.00	0.00
scaffold_261	111479	21.13	1	74	0.66	0.761	0.258	0.451	597.00	597.00	0.05
scaffold_262	111091	20.27	1	58	0.52	0.853	0.510	0.812	687.00	687.00	0.14
scaffold_263	110902	17.96	1	81	0.73	0.403	0.228	1.531	703.00	703.00	0.09
scaffold_264	110856	17.17	1	69	0.62	0.454	0.231	0.816	770.50	770.50	0.01
scaffold_265	110143	20.33	1	48	0.44	0.810	0.414	0.600	1064.50	1064.50	0.04
scaffold_266	110134	20.62	1	61	0.55	0.757	0.282	2.211	615.00	615.00	0.02
scaffold_267	109113	16.94	1	75	0.69	0.378	0.237	1.778	500.00	500.00	0.01
scaffold_268	108919	19.05	1	71	0.65	0.658	0.300	2.381	614.00	614.00	0.08
scaffold_269	108891	20.52	1	51	0.47	0.913	0.450	1.040	631.50	631.50	0.02
scaffold_270	108863	17.48	1	75	0.69	0.365	0.213	1.500	625.00	625.00	0.07
scaffold_271	108644	20.41	1	56	0.52	0.549	0.292	1.240	748.50	748.50	0.04
scaffold_272	108387	22.38	1	85	0.78	0.617	0.216	2.269	390.00	390.00	0.07
scaffold_273	108223	20.81	1	71	0.66	0.503	0.207	0.690	583.00	583.00	0.03
scaffold_274	107776	18.22	1	82	0.76	0.448	0.251	0.864	566.00	566.00	0.04
scaffold_275	107751	26.03	1	39	0.36	1.328	0.798	1.294	1371.50	1371.50	0.03
scaffold_276	106473	19.19	1	75	0.70	0.468	0.237	1.586	494.00	494.00	0.03
scaffold_277	106129	25.71	1	57	0.54	0.961	0.408	1.850	443.50	443.50	0.05
scaffold_278	106099	18.96	1	84	0.79	0.566	0.260	0.714	400.00	400.00	0.05
scaffold_279	106082	22.25	1	40	0.38	0.761	0.424	2.333	1533.50	1533.50	0.10
scaffold_280	105638	18.43	1	71	0.67	0.392	0.249	2.087	955.00	955.00	0.04
scaffold_281	105272	19.20	1	84	0.80	0.407	0.249	0.867	580.00	580.00	0.01
scaffold_282	105127	17.88	1	69	0.66	0.506	0.219	2.450	785.00	785.00	0.01
scaffold_283	104906	23.85	1	65	0.62	0.681	0.396	0.970	687.00	687.00	0.12
scaffold_284	104753	17.43	1	78	0.74	0.375	0.219	0.733	426.00	426.00	0.01
scaffold_285	104660	19.43	1	56	0.54	0.628	0.197	1.154	864.50	864.50	0.00
scaffold_286	104602	22.79	1	70	0.67	0.581	0.381	0.556	461.00	461.00	0.06
scaffold_287	104573	18.03	1	61	0.58	0.536	0.273	0.848	806.00	806.00	0.05
scaffold_288	104400	19.10	1	80	0.77	0.460	0.231	1.000	422.50	422.50	0.07
scaffold_289	104139	18.41	1	72	0.69	0.579	0.317	0.532	479.00	479.00	0.04
scaffold_290	103792	18.53	1	59	0.57	0.451	0.195	0.372	538.50	538.50	0.02
scaffold_291	103486	22.26	1	45	0.43	0.731	0.375	0.731	526.00	526.00	0.07
scaffold_292	103455	18.63	1	66	0.64	0.767	0.254	2.143	467.00	467.00	0.06
scaffold_293	103427	17.03	1	63	0.61	0.370	0.183	1.864	607.00	607.00	0.03
scaffold_294	103377	19.91	1	65	0.63	0.809	0.330	0.548	867.00	867.00	0.15
scaffold_295	103142	20.45	1	54	0.52	0.743	0.269	1.077	711.00	711.00	0.09
scaffold_296	103069	16.61	1	75	0.73	0.360	0.186	1.206	816.00	816.00	0.13
scaffold_297	102190	17.66	1	55	0.54	0.487	0.297	0.667	630.50	630.50	0.09
scaffold_298	102107	18.57	1	85	0.83	0.491	0.252	0.977	378.00	378.00	0.00
