ID	LENGTH	GC	COVERAGE	ORF_COUNT	ORF_PER_KB	ORF_MEAN	ORF_MEDIAN	ORF_PLUS_STRAND_RATIO	INTERGENIC_MEAN	INTERGENIC_MEDIAN	FRACTION_OVERLAPPING_ORFS
scaffold_32	22059	58.19	1	15	0.68	0.818	0.546	1.143	690.00	690.00	0.07
scaffold_33	21921	61.18	1	15	0.68	0.603	0.531	0.667	523.00	523.00	0.00
scaffold_34	21868	64.88	1	19	0.87	0.868	0.693	1.714	198.50	198.50	0.16
scaffold_35	21654	65.15	1	16	0.74	1.005	0.617	1.000	212.00	212.00	0.19
scaffold_36	21334	67.44	1	11	0.52	1.299	1.353	0.833	505.00	505.00	0.09
scaffold_37	21216	67.36	1	10	0.47	1.504	1.194	1.000	246.00	246.00	0.10
scaffold_38	20437	60.47	1	10	0.49	0.959	0.728	0.250	1113.50	1113.50	0.00
scaffold_39	19975	61.85	1	9	0.45	1.682	1.092	1.250	448.00	448.00	0.00
scaffold_40	19938	61.31	1	18	0.90	0.660	0.526	0.800	244.00	244.00	0.06
scaffold_41	19815	71.13	1	8	0.40	1.864	1.320	0.333	599.00	599.00	0.00
scaffold_42	19769	66.74	1	14	0.71	1.130	0.702	1.800	195.50	195.50	0.00
scaffold_43	19540	66.42	1	10	0.51	1.234	1.011	1.000	686.00	686.00	0.00
scaffold_44	19426	61.24	1	14	0.72	0.763	0.494	1.800	558.00	558.00	0.07
scaffold_45	19103	58.32	1	16	0.84	0.850	0.403	3.000	214.00	214.00	0.06
scaffold_46	19065	60.75	1	10	0.52	1.165	0.624	0.667	593.50	593.50	0.00
scaffold_47	18806	64.09	1	11	0.58	0.788	0.615	0.833	330.00	330.00	0.00
scaffold_48	18612	65.39	1	13	0.70	0.989	0.567	0.857	379.00	379.00	0.15
scaffold_49	18441	68.10	1	14	0.76	0.926	0.799	1.000	291.00	291.00	0.07
scaffold_50	18001	63.41	1	11	0.61	0.865	0.723	1.200	357.00	357.00	0.00
scaffold_51	17949	58.67	1	16	0.89	0.816	0.531	3.000	195.50	195.50	0.00
scaffold_52	17847	61.99	1	11	0.62	0.962	0.588	0.833	482.00	482.00	0.09
scaffold_53	17692	67.69	1	12	0.68	1.078	0.897	1.000	223.50	223.50	0.00
scaffold_54	17383	65.03	1	9	0.52	1.675	0.432	3.500	189.00	189.00	0.00
scaffold_55	17208	62.51	1	13	0.76	0.880	0.615	1.600	405.00	405.00	0.08
scaffold_56	17194	61.96	1	10	0.58	0.638	0.522	1.500	326.50	326.50	0.00
scaffold_57	17109	64.89	1	10	0.58	1.210	0.963	1.000	314.00	314.00	0.10
scaffold_58	16834	58.79	1	10	0.59	1.090	0.603	0.667	337.00	337.00	0.00
scaffold_59	16676	58.68	1	12	0.72	0.884	0.312	1.000	308.00	308.00	0.00
scaffold_60	16661	61.17	1	8	0.48	1.483	0.776	1.000	448.50	448.50	0.00
scaffold_61	16610	57.71	1	9	0.54	0.844	0.720	0.125	527.00	527.00	0.00
scaffold_62	16591	67.01	1	18	1.08	0.638	0.605	0.636	263.00	263.00	0.11
scaffold_63	16561	60.29	1	15	0.91	0.810	0.285	4.000	285.00	285.00	0.20
scaffold_64	16493	71.23	1	9	0.55	1.328	0.669	0.500	436.00	436.00	0.00
scaffold_65	16480	64.17	1	12	0.73	0.929	0.589	1.000	337.00	337.00	0.00
scaffold_66	16423	60.51	1	9	0.55	1.278	0.879	0.125	507.50	507.50	0.11
scaffold_67	16281	65.21	1	16	0.98	0.622	0.336	0.455	293.00	293.00	0.00
scaffold_68	16156	66.72	1	6	0.37	2.185	0.825	1.000	461.00	461.00	0.17
scaffold_69	16086	59.84	1	9	0.56	1.156	0.708	0.800	288.00	288.00	0.00
scaffold_70	15904	64.18	1	10	0.63	0.785	0.528	1.500	540.00	540.00	0.00
scaffold_71	15805	63.66	1	13	0.82	0.841	0.714	1.167	272.50	272.50	0.08
scaffold_72	15775	60.32	1	13	0.82	0.916	0.603	1.167	287.50	287.50	0.23
scaffold_73	15738	62.36	1	10	0.64	1.085	0.672	9.000	532.00	532.00	0.20
scaffold_74	15682	59.73	1	6	0.38	2.066	1.923	2.000	307.50	307.50	0.00
scaffold_75	15618	60.83	1	11	0.70	1.148	0.339	1.750	140.50	140.50	0.09
scaffold_76	15612	66.14	1	21	1.35	0.586	0.366	0.750	181.50	181.50	0.24
scaffold_77	15467	64.47	1	20	1.29	0.542	0.341	0.667	172.50	172.50	0.10
scaffold_78	15278	55.10	1	8	0.52	1.295	0.811	3.000	575.00	575.00	0.00
scaffold_79	15272	69.40	1	6	0.39	2.009	1.827	0.500	300.00	300.00	0.00
scaffold_80	15271	69.62	1	6	0.39	1.777	1.520	1.000	902.50	902.50	0.00
scaffold_81	15202	62.52	1	14	0.92	0.806	0.507	0.750	268.00	268.00	0.21
scaffold_82	15083	72.43	1	7	0.46	1.563	1.677	0.750	300.00	300.00	0.29
scaffold_83	14963	53.30	1	14	0.94	0.833	0.366	1.000	59.50	59.50	0.14
scaffold_84	14705	63.20	1	22	1.50	0.534	0.456	1.200	82.00	82.00	0.18
scaffold_85	14587	60.53	1	13	0.89	0.606	0.384	0.625	298.00	298.00	0.00
scaffold_86	14505	64.45	1	13	0.90	0.653	0.696	1.600	353.00	353.00	0.08
scaffold_87	14388	69.38	1	11	0.76	1.017	0.843	0.833	337.50	337.50	0.09
scaffold_88	14198	59.91	1	11	0.77	0.674	0.507	1.200	547.00	547.00	0.09
scaffold_89	14139	63.80	1	6	0.42	1.577	0.786	2.000	614.50	614.50	0.00
scaffold_90	14092	58.92	1	8	0.57	1.048	0.903	3.000	667.00	667.00	0.00
scaffold_91	14089	67.33	1	9	0.64	1.181	0.999	2.000	362.00	362.00	0.00
scaffold_92	14048	65.44	1	6	0.43	2.139	0.966	2.000	118.50	118.50	0.00
scaffold_93	13782	64.88	1	17	1.23	0.685	0.345	1.833	99.00	99.00	0.06
scaffold_94	13743	66.40	1	5	0.36	1.865	1.335	0.250	842.00	842.00	0.00
scaffold_95	13622	66.21	1	6	0.44	1.419	0.912	1.000	1035.00	1035.00	0.17
scaffold_96	13540	61.96	1	7	0.52	1.353	0.885	0.750	427.00	427.00	0.14
scaffold_97	13495	69.36	1	8	0.59	1.383	1.278	1.667	202.00	202.00	0.00
scaffold_98	13449	64.67	1	8	0.59	1.067	1.137	1.000	609.00	609.00	0.12
scaffold_99	13372	69.14	1	6	0.45	1.718	1.249	5.000	464.50	464.50	0.00
scaffold_100	13299	67.06	1	7	0.53	1.328	0.852	2.500	349.00	349.00	0.00
scaffold_101	13286	63.10	1	21	1.58	0.481	0.300	0.750	161.00	161.00	0.29
scaffold_102	13230	63.83	1	8	0.60	0.932	0.603	1.667	464.00	464.00	0.12
scaffold_103	13210	68.11	1	8	0.61	1.277	0.867	0.600	366.00	366.00	0.00
scaffold_104	13176	53.85	1	16	1.21	0.555	0.370	0.333	237.00	237.00	0.19
scaffold_105	13163	62.14	1	10	0.76	0.871	0.636	0.429	214.00	214.00	0.10
scaffold_106	13154	61.96	1	11	0.84	0.652	0.519	1.200	608.00	608.00	0.00
scaffold_107	13125	67.89	1	7	0.53	1.421	1.350	0.750	143.00	143.00	0.00
scaffold_108	13098	59.73	1	10	0.76	0.554	0.474	0.667	829.00	829.00	0.10
scaffold_109	13020	68.53	1	8	0.61	1.209	1.041	1.667	367.50	367.50	0.00
scaffold_110	12997	70.85	1	10	0.77	1.107	1.024	1.500	89.00	89.00	0.10
scaffold_111	12947	60.93	1	11	0.85	0.705	0.351	1.200	304.50	304.50	0.09
scaffold_112	12922	66.17	1	7	0.54	1.379	1.245	0.400	225.00	225.00	0.00
scaffold_113	12909	57.60	1	9	0.70	0.789	0.168	0.800	518.00	518.00	0.00
scaffold_114	12904	64.55	1	9	0.70	0.877	0.636	2.000	498.00	498.00	0.00
scaffold_115	12903	60.92	1	11	0.85	0.783	0.402	1.750	566.50	566.50	0.27
scaffold_116	12780	61.68	1	13	1.02	0.709	0.264	1.167	202.00	202.00	0.23
scaffold_117	12765	60.79	1	2	0.16	5.994	5.994	1.000	217.00	217.00	0.00
scaffold_118	12753	65.09	1	3	0.24	2.916	2.544	2.000	976.00	976.00	0.00
scaffold_119	12715	65.84	1	15	1.18	0.702	0.243	0.364	163.00	163.00	0.07
scaffold_120	12676	63.14	1	9	0.71	1.105	0.396	3.500	144.00	144.00	0.11
scaffold_121	12633	61.23	1	7	0.55	0.673	0.522	0.750	798.00	798.00	0.00
scaffold_122	12533	68.30	1	7	0.56	1.390	0.732	1.333	554.50	554.50	0.14
scaffold_123	12523	65.42	1	16	1.28	0.532	0.496	1.000	249.00	249.00	0.12
scaffold_124	12467	62.70	1	10	0.80	0.621	0.484	0.429	405.50	405.50	0.00
scaffold_125	12438	63.84	1	7	0.56	1.080	0.762	0.400	701.00	701.00	0.00
scaffold_126	12389	68.13	1	8	0.65	0.960	0.796	1.000	878.00	878.00	0.12
scaffold_127	12227	61.94	1	10	0.82	0.820	0.612	1.500	327.00	327.00	0.10
scaffold_128	12195	55.64	1	18	1.48	0.309	0.204	0.800	280.00	280.00	0.06
scaffold_129	12190	66.04	1	14	1.15	0.746	0.285	1.000	87.50	87.50	0.14
scaffold_130	12160	63.83	1	5	0.41	1.532	0.402	0.667	420.00	420.00	0.00
scaffold_131	12066	65.02	1	6	0.50	1.447	1.028	1.000	272.00	272.00	0.00
scaffold_132	12027	68.67	1	5	0.42	2.010	1.599	NA	332.00	332.00	0.00
scaffold_133	11810	66.21	1	10	0.85	0.905	0.538	1.500	169.00	169.00	0.00
scaffold_134	11788	62.84	1	10	0.85	0.758	0.643	1.500	222.50	222.50	0.00
scaffold_135	11765	57.04	1	10	0.85	0.734	0.789	0.429	328.00	328.00	0.10
scaffold_136	11756	68.12	1	7	0.60	0.713	0.645	0.400	573.00	573.00	0.00
scaffold_137	11602	64.15	1	9	0.78	0.840	0.543	2.000	374.00	374.00	0.00
scaffold_138	11579	66.92	1	7	0.60	1.235	0.729	0.750	162.00	162.00	0.00
scaffold_139	11516	59.08	1	4	0.35	2.438	0.402	1.000	229.00	229.00	0.00
scaffold_140	11494	55.26	1	6	0.52	0.916	0.579	2.000	751.50	751.50	0.00
scaffold_141	11460	65.54	1	7	0.61	1.083	1.077	0.750	580.00	580.00	0.00
scaffold_142	11443	62.43	1	10	0.87	0.830	0.558	0.667	405.00	405.00	0.10
scaffold_143	11307	65.18	1	6	0.53	0.953	0.824	0.200	628.00	628.00	0.17
scaffold_144	11261	61.55	1	8	0.71	0.720	0.730	0.600	543.00	543.00	0.00
scaffold_145	11257	61.30	1	9	0.80	0.688	0.597	2.000	456.00	456.00	0.00
scaffold_146	11226	66.27	1	6	0.53	1.031	1.054	0.500	673.00	673.00	0.00
scaffold_147	11161	58.59	1	6	0.54	1.613	0.487	5.000	203.00	203.00	0.17
scaffold_148	11160	55.75	1	7	0.63	1.014	0.501	1.333	306.00	306.00	0.00
scaffold_149	11149	62.56	1	8	0.72	0.821	0.648	1.000	283.50	283.50	0.00
scaffold_150	11118	61.81	1	11	0.99	0.560	0.183	2.667	375.00	375.00	0.00
scaffold_151	11094	66.82	1	9	0.81	0.721	0.681	0.800	792.00	792.00	0.33
scaffold_152	11053	65.42	1	5	0.45	1.371	0.717	1.500	384.50	384.50	0.20
scaffold_153	11028	64.72	1	6	0.54	1.494	0.984	0.500	268.00	268.00	0.00
scaffold_154	10982	65.58	1	5	0.46	0.887	0.690	0.667	375.00	375.00	0.00
scaffold_155	10969	73.49	1	4	0.36	2.510	1.841	3.000	127.00	127.00	0.25
scaffold_156	10826	62.97	1	8	0.74	0.754	0.402	0.600	276.50	276.50	0.00
scaffold_157	10800	53.36	1	5	0.46	1.586	0.225	1.500	275.00	275.00	0.00
scaffold_158	10723	63.55	1	5	0.47	1.244	1.578	4.000	1092.00	1092.00	0.20
scaffold_159	10694	61.65	1	18	1.68	0.298	0.246	0.500	171.00	171.00	0.11
scaffold_160	10681	63.34	1	11	1.03	0.594	0.453	1.200	332.00	332.00	0.00
scaffold_161	10650	58.46	1	11	1.03	0.589	0.495	1.200	444.50	444.50	0.09
scaffold_162	10601	67.82	1	6	0.57	1.117	0.843	1.000	489.50	489.50	0.00
scaffold_163	10542	54.77	1	6	0.57	1.373	0.292	1.000	407.50	407.50	0.00
scaffold_164	10513	64.59	1	11	1.05	0.711	0.240	1.200	241.50	241.50	0.09
scaffold_165	10496	61.23	1	16	1.52	0.370	0.351	3.000	202.00	202.00	0.06
scaffold_166	10467	67.73	1	6	0.57	0.781	0.787	0.500	1087.00	1087.00	0.17
scaffold_167	10426	63.70	1	8	0.77	0.740	0.524	0.600	342.00	342.00	0.00
scaffold_168	10398	59.67	1	14	1.35	0.474	0.383	1.000	151.00	151.00	0.14
scaffold_169	10363	68.44	1	10	0.96	0.597	0.522	1.500	168.00	168.00	0.00
scaffold_170	10283	62.54	1	6	0.58	0.892	0.839	0.500	822.50	822.50	0.00
scaffold_171	10267	61.01	1	18	1.75	0.361	0.279	0.800	222.50	222.50	0.22
scaffold_172	10215	66.93	1	9	0.88	0.707	0.606	0.500	226.00	226.00	0.00
scaffold_173	10192	63.91	1	11	1.08	0.630	0.318	0.833	160.50	160.50	0.09
scaffold_174	10190	58.69	1	9	0.88	0.576	0.279	1.250	186.00	186.00	0.00
scaffold_175	10167	64.91	1	8	0.79	0.745	0.687	3.000	444.00	444.00	0.12
scaffold_176	10143	68.80	1	3	0.30	2.833	4.056	2.000	849.50	849.50	0.33
scaffold_177	10069	62.99	1	6	0.60	0.905	0.760	1.000	477.50	477.50	0.00
scaffold_178	10036	66.14	1	4	0.40	1.929	1.753	3.000	361.00	361.00	0.00
scaffold_179	10000	71.36	1	7	0.70	1.296	1.089	1.333	161.00	161.00	0.29
scaffold_180	9992	60.08	1	5	0.50	1.020	1.245	0.250	957.00	957.00	0.20
scaffold_181	9972	73.09	1	6	0.60	1.295	1.218	0.200	185.50	185.50	0.00
scaffold_182	9932	70.41	1	5	0.50	1.292	0.540	0.250	564.00	564.00	0.20
scaffold_183	9833	57.54	1	9	0.92	0.767	0.351	1.250	128.50	128.50	0.11
scaffold_184	9828	68.21	1	6	0.61	1.122	1.203	1.000	330.00	330.00	0.00
scaffold_185	9824	63.09	1	18	1.83	0.405	0.273	1.571	139.00	139.00	0.28
scaffold_186	9810	69.07	1	6	0.61	1.306	0.690	0.500	240.00	240.00	0.00
scaffold_187	9791	62.36	1	5	0.51	1.442	0.774	1.500	623.50	623.50	0.20
scaffold_188	9719	64.56	1	4	0.41	1.263	1.212	1.000	679.50	679.50	0.00
scaffold_189	9701	64.18	1	14	1.44	0.589	0.360	2.500	130.00	130.00	0.21
scaffold_190	9693	67.22	1	9	0.93	0.726	0.726	2.000	199.00	199.00	0.00
scaffold_191	9662	63.22	1	10	1.03	0.754	0.339	0.429	224.00	224.00	0.20
scaffold_192	9652	59.56	1	4	0.41	1.913	0.752	1.000	231.50	231.50	0.00
scaffold_193	9583	67.55	1	4	0.42	1.988	1.700	0.333	377.00	377.00	0.00
scaffold_194	9545	65.76	1	6	0.63	0.866	0.524	1.000	799.00	799.00	0.00
scaffold_195	9471	63.58	1	7	0.74	1.014	0.594	1.333	148.00	148.00	0.14
scaffold_196	9430	62.38	1	5	0.53	1.254	0.900	0.667	628.50	628.50	0.20
scaffold_197	9408	62.14	1	16	1.70	0.397	0.274	2.200	175.00	175.00	0.12
scaffold_198	9391	64.08	1	14	1.49	0.500	0.561	0.273	55.00	55.00	0.14
scaffold_199	9385	63.91	1	10	1.07	0.673	0.665	0.667	203.00	203.00	0.10
scaffold_200	9379	61.07	1	13	1.39	0.563	0.393	1.167	121.00	121.00	0.15
scaffold_201	9293	55.19	1	3	0.32	2.307	3.093	2.000	332.00	332.00	0.00
scaffold_202	9291	62.00	1	7	0.75	0.858	0.798	0.400	317.00	317.00	0.00
scaffold_203	9285	67.57	1	6	0.65	1.110	0.599	1.000	113.50	113.50	0.00
scaffold_204	9226	56.53	1	12	1.30	0.507	0.318	0.500	306.00	306.00	0.25
scaffold_205	9212	61.78	1	8	0.87	0.856	0.607	7.000	234.00	234.00	0.25
scaffold_206	9203	58.00	1	10	1.09	0.484	0.267	1.500	272.50	272.50	0.00
scaffold_207	9198	57.66	1	11	1.20	0.469	0.213	0.571	181.50	181.50	0.09
scaffold_208	9162	57.87	1	5	0.55	1.221	0.663	0.667	195.00	195.00	0.00
scaffold_209	9136	52.71	1	14	1.53	0.333	0.231	1.333	236.00	236.00	0.07
scaffold_210	9126	67.71	1	8	0.88	0.841	0.815	1.667	154.50	154.50	0.00
scaffold_211	9114	66.11	1	8	0.88	0.899	0.347	1.000	133.00	133.00	0.00
scaffold_212	9105	68.37	1	9	0.99	0.691	0.471	0.500	179.00	179.00	0.00
scaffold_213	9085	60.75	1	5	0.55	0.995	0.672	0.250	570.00	570.00	0.00
scaffold_214	9081	62.82	1	5	0.55	1.556	0.654	0.667	137.00	137.00	0.00
scaffold_215	9072	68.13	1	3	0.33	2.003	1.632	0.500	222.00	222.00	0.00
scaffold_216	9052	62.72	1	12	1.33	0.544	0.559	1.000	197.50	197.50	0.17
scaffold_217	9011	66.44	1	7	0.78	0.884	0.801	0.167	518.00	518.00	0.14
scaffold_218	9004	61.67	1	7	0.78	0.952	0.495	1.333	124.00	124.00	0.14
scaffold_219	8980	63.78	1	10	1.11	0.429	0.348	1.000	345.50	345.50	0.00
scaffold_220	8930	62.41	1	16	1.79	0.411	0.363	1.000	83.00	83.00	0.06
scaffold_221	8890	63.77	1	7	0.79	0.706	0.591	0.400	163.00	163.00	0.00
scaffold_222	8815	63.63	1	7	0.79	0.688	0.531	1.333	527.00	527.00	0.00
scaffold_223	8804	57.16	1	11	1.25	0.529	0.357	0.571	247.00	247.00	0.18
scaffold_224	8804	68.95	1	5	0.57	1.454	0.900	4.000	224.00	224.00	0.00
scaffold_225	8760	63.21	1	6	0.68	0.859	0.605	2.000	247.00	247.00	0.00
scaffold_226	8643	57.51	1	7	0.81	0.841	0.528	1.333	157.00	157.00	0.00
scaffold_227	8621	61.65	1	4	0.46	0.890	0.808	NA	655.50	655.50	0.00
scaffold_228	8613	63.49	1	2	0.23	3.456	3.456	1.000	650.00	650.00	0.00
scaffold_229	8599	58.94	1	5	0.58	0.745	0.561	1.500	956.00	956.00	0.00
scaffold_230	8593	66.22	1	4	0.47	1.169	0.612	0.333	579.50	579.50	0.00
scaffold_231	8550	63.19	1	9	1.05	0.598	0.480	1.250	147.50	147.50	0.11
scaffold_232	8527	61.10	1	5	0.59	1.291	1.383	1.500	275.00	275.00	0.00
scaffold_233	8496	62.84	1	6	0.71	0.906	0.863	1.000	479.50	479.50	0.00
scaffold_234	8474	61.18	1	11	1.30	0.583	0.300	1.750	325.00	325.00	0.27
scaffold_235	8424	58.65	1	6	0.71	0.810	0.645	0.200	625.00	625.00	0.00
scaffold_236	8407	61.07	1	5	0.59	1.094	0.741	NA	416.00	416.00	0.00
scaffold_237	8398	54.94	1	8	0.95	0.610	0.695	1.000	190.00	190.00	0.12
scaffold_238	8374	58.45	1	6	0.72	0.965	0.793	2.000	267.00	267.00	0.00
scaffold_239	8354	62.21	1	5	0.60	1.340	0.624	0.667	151.00	151.00	0.20
scaffold_240	8332	54.90	1	8	0.96	0.606	0.279	0.600	314.50	314.50	0.00
scaffold_241	8287	66.69	1	4	0.48	1.405	0.990	3.000	977.00	977.00	0.25
scaffold_242	8273	53.46	1	8	0.97	0.813	0.775	0.600	103.00	103.00	0.00
scaffold_243	8269	66.30	1	10	1.21	0.637	0.479	1.000	88.00	88.00	0.10
scaffold_244	8264	58.17	1	10	1.21	0.338	0.252	4.000	497.00	497.00	0.20
scaffold_245	8248	66.59	1	5	0.61	1.010	0.702	0.667	387.00	387.00	0.00
scaffold_246	8221	52.58	1	4	0.49	1.271	1.093	3.000	275.00	275.00	0.00
scaffold_247	8120	62.68	1	10	1.23	0.418	0.304	1.500	231.00	231.00	0.20
scaffold_248	8108	62.19	1	4	0.49	1.544	1.662	NA	396.50	396.50	0.00
scaffold_249	8069	64.13	1	5	0.62	1.150	0.795	0.250	584.00	584.00	0.00
scaffold_250	8015	69.49	1	6	0.75	1.003	0.830	1.000	52.00	52.00	0.17
scaffold_251	8006	66.89	1	5	0.62	0.986	1.005	0.250	446.00	446.00	0.00
scaffold_252	7985	62.81	1	4	0.50	1.252	1.190	0.333	685.50	685.50	0.00
scaffold_253	7970	62.71	1	9	1.13	0.603	0.300	1.250	108.00	108.00	0.22
scaffold_254	7967	64.34	1	9	1.13	0.676	0.369	0.800	198.50	198.50	0.11
scaffold_255	7912	58.57	1	8	1.01	0.683	0.399	1.000	559.00	559.00	0.38
scaffold_256	7875	61.80	1	6	0.76	0.816	0.569	0.500	418.50	418.50	0.00
scaffold_257	7853	57.57	1	8	1.02	0.458	0.502	0.600	69.00	69.00	0.12
scaffold_258	7844	68.83	1	5	0.64	0.992	1.098	0.667	721.00	721.00	0.00
scaffold_259	7843	59.43	1	6	0.77	0.902	0.318	2.000	594.00	594.00	0.33
scaffold_260	7795	65.40	1	12	1.54	0.397	0.298	0.333	167.00	167.00	0.08
scaffold_261	7789	64.89	1	7	0.90	0.915	0.714	1.333	243.00	243.00	0.14
scaffold_262	7785	68.07	1	6	0.77	1.096	1.026	1.000	152.00	152.00	0.00
scaffold_263	7780	50.35	1	4	0.51	0.285	0.240	0.333	562.50	562.50	0.00
scaffold_264	7778	58.18	1	7	0.90	0.815	0.372	1.333	300.00	300.00	0.14
scaffold_265	7776	63.32	1	5	0.64	1.086	1.116	1.500	82.00	82.00	0.00
scaffold_266	7769	65.04	1	7	0.90	0.995	0.468	0.750	127.00	127.00	0.43
scaffold_267	7725	59.83	1	8	1.04	0.615	0.516	1.667	329.00	329.00	0.00
scaffold_268	7692	66.76	1	5	0.65	1.251	1.473	0.667	118.00	118.00	0.00
scaffold_269	7661	61.99	1	4	0.52	1.222	0.996	0.333	466.50	466.50	0.00
scaffold_270	7639	68.46	1	5	0.65	1.154	0.924	0.667	249.00	249.00	0.00
scaffold_271	7591	62.06	1	6	0.79	0.950	0.643	2.000	333.50	333.50	0.00
scaffold_272	7559	64.23	1	6	0.79	0.944	0.802	0.200	436.00	436.00	0.17
scaffold_273	7546	64.95	1	6	0.80	0.869	0.575	0.200	58.50	58.50	0.00
scaffold_274	7521	62.07	1	5	0.66	0.864	0.918	1.500	556.00	556.00	0.00
scaffold_275	7509	61.70	1	6	0.80	0.841	0.369	2.000	242.00	242.00	0.17
scaffold_276	7498	69.71	1	3	0.40	1.710	1.107	0.500	108.00	108.00	0.00
scaffold_277	7496	58.24	1	6	0.80	0.818	0.582	0.500	327.00	327.00	0.17
scaffold_278	7495	63.78	1	4	0.53	1.141	1.023	3.000	326.50	326.50	0.00
scaffold_279	7429	63.31	1	2	0.27	2.076	2.076	NA	1639.50	1639.50	0.00
scaffold_280	7413	65.03	1	10	1.35	0.529	0.314	1.500	149.00	149.00	0.10
scaffold_281	7407	66.48	1	7	0.95	0.747	0.621	NA	220.00	220.00	0.00
scaffold_282	7368	59.30	1	9	1.22	0.458	0.279	0.500	177.00	177.00	0.11
scaffold_283	7358	60.34	1	4	0.54	0.800	0.735	1.000	835.50	835.50	0.00
scaffold_284	7323	63.84	1	6	0.82	0.606	0.576	5.000	666.00	666.00	0.17
scaffold_285	7307	63.19	1	5	0.68	1.090	1.395	4.000	216.00	216.00	0.00
scaffold_286	7296	61.91	1	4	0.55	0.761	0.717	1.000	734.00	734.00	0.00
scaffold_287	7232	54.37	1	8	1.11	0.277	0.257	0.600	551.50	551.50	0.00
scaffold_288	7218	62.41	1	5	0.69	0.976	0.690	0.250	95.00	95.00	0.00
scaffold_289	7208	63.47	1	8	1.11	0.640	0.573	1.000	268.00	268.00	0.00
scaffold_290	7196	67.72	1	4	0.56	1.253	0.978	3.000	556.00	556.00	0.00
scaffold_291	7191	62.22	1	11	1.53	0.461	0.435	0.833	139.00	139.00	0.09
scaffold_292	7152	57.65	1	8	1.12	0.735	0.335	7.000	101.00	101.00	0.50
scaffold_293	7126	67.86	1	1	0.14	5.472	5.472	NA	227.00	227.00	0.00
scaffold_294	7119	68.28	1	10	1.40	0.459	0.304	0.429	219.50	219.50	0.00
scaffold_295	7104	63.33	1	5	0.70	0.484	0.363	0.667	875.00	875.00	0.00
scaffold_296	7038	65.00	1	5	0.71	0.914	1.023	1.500	234.00	234.00	0.00
scaffold_297	7032	57.99	1	7	1.00	0.514	0.252	1.333	513.00	513.00	0.00
scaffold_298	6998	55.13	1	7	1.00	0.740	0.456	0.167	114.00	114.00	0.29
