VOG	Allma1	Allomyces_arbuscula_Burma_1F	Allomyces_javanicus_California_12	Anasp1	Batde5	Blabri1	Blyhe1	Blyttiomyces_sp	Boothiomyces_macroporosum_PLAUS21	Borealophlyctis_nickersoniae_WJD170	Caecom1	Catan2	Caupr1	Caupr_SCcomb	Chyhya1	Chylag1	Chytri1	Chytriomyces_hyalinus_ARG085	Chytriomyces_hyalinus_ARG121	Chytriomyces_hyalinus_JEL0117	Chytriomyces_hyalinus_JEL0176	Chytriomyces_hyalinus_JEL0345	Cladochytrium_tenue_C_tenue	Clapol1_1	Clarep1_1	Dinochytrium_kinnereticum_KLL_TL_06062013	Enthel1	Entophlyctis_luteolus_JEL0120	Entophlyctis_luteolus_JEL0129	Entophlyctis_sp	Fimjon1	Gaertneriomyces_sp	Gaesem1	Ganpr1	Geranomyces_michiganensis_JEL0563	Geranomyces_variabilis_JEL0379	Geranomyces_variabilis_JEL0389	Geranomyces_variabilis_JEL0566	Geranomyces_variabilis_JEL0567	Gervar1	Glopol1	Gorhay1	Hompol1	Hyacur1	Irineochytrium_annulatum_JEL0729	Kappamyces_sp	Lobulomyces_angularis_JEL0522	Lobulomyces_sp	Neosp1	Nowakowskiella_sp	Obemuc1	Orpsp1_1	Paranamyces_uniporus_JEL0695	Paraphysoderma_sedebokerense_JEL0847	Parsed1	Phlyctochytrium_bullatum_JEL0754	Phlyctochytrium_planicorne_JEL0388	Physocladia_obscura_JEL0513	PirE2_1	Pirfi3	Podochytrium_sp	Polagg1_1	Powhir1	Quaeritorhiza_haematococci_JEL0916	Rhihy1	Rhizoclosmatium_hyalinus_JEL0917	Rhizophlyctis_rosea_JEL0318	Rhizophlyctis_rosea_JEL0764	Rhizophydium_sp	Siphonaria_sp	SmithFen_BAUOG	Spipu1	Thoreauomyces_humboldtii_JEL0095	Triarc1	Unknown_unknown_JEL0888
NCVOG0013	2.3e-11	5.4e-12		1.1e-21	1.4e-19	1.6e-18	6.9e-12		1.2e-14	1.1e-17	1.2e-18	3.4e-15	5.9e-15	5.5e-15	1.6e-11	8e-11		1.7e-13	1.2e-12	1.2e-23	1.1e-13	1.2e-14	1.6e-11	1.1e-13	1.2e-11	2.5e-15	7.7e-18		1.3e-16	2.2e-15	5.1e-14	1e-11	1.3e-13	1.2e-15	1.4e-12	5.9e-13	8.9e-13	5.4e-12	3.1e-12	4.3e-14	5.5e-20	1.4e-14		1.2e-11	4.4e-20	1.3e-18		1.3e-11	1.1e-20	1.2e-16	1.3e-16		1.4e-12	1.1e-18		5.3e-12	5.2e-15	1.3e-11	1.7e-20	5.4e-21	1.2e-13	1.1e-17	4.4e-16	2e-17	1.1e-14	1.3e-20	2.6e-13	1.3e-12	1.2e-15	3.1e-24		1.4e-15			1.1e-11
NCVOG0014	1.1e-12	5.2e-13	3.2e-11	1.1e-25	6.8e-22	3.9e-11			1.3e-14	1.1e-28	1.3e-23	1.2e-11	1.9e-13	1.8e-13	2.6e-14	1.3e-11	1.2e-19	1.1e-12	1.7e-14	1.1e-11	2.4e-13	3.1e-12	3.1e-23	1.3e-15	1.1e-16	3.5e-11	1.7e-20		3.5e-13	1.1e-17	8.8e-11	2.5e-12	4e-14	1.2e-12	2.3e-17	2.5e-16	3.7e-16	2.8e-16	7.2e-16	1e-17	1.5e-12	1.3e-13		1.4e-19	1.1e-13	1.1e-21			2.2e-17	1.1e-17	1.2e-22	1.7e-18	2.2e-14	1.1e-11	7.6e-12	1.6e-15	2e-12	1.3e-14	1e-24	2.2e-24	2.2e-14	1.1e-19	2.4e-13	1.7e-14	1.1e-25	1.1e-18	2.1e-18	4.4e-14	1.1e-15	1.7e-13		1.7e-16			1.1e-18
NCVOG0015				1.4e-15	1.1e-13				1.5e-14	1.1e-11	1.4e-15		2.4e-12	2.2e-12				7.2e-14	3.9e-14	1.1e-13			1.8e-14	1.3e-14	1e-12	1.8e-14			4.6e-15	1.1e-18			7.9e-11	1.1e-13	8.7e-12	6.7e-12	4.7e-12	2.4e-11	1.6e-11	2.3e-13	1.7e-14	1.1e-15		1.2e-19		1.1e-14			1.6e-17	1.1e-18	1.9e-13		1.1e-11	1.5e-18	5.8e-11			2.5e-15	1.2e-14	1.4e-13	5.4e-13	1.2e-12		1.2e-14	1.1e-16	1.1e-11	4.1e-14	3.6e-11	1.2e-14	2e-13		6.6e-13			1.1e-15
NCVOG0017	1.5e-11	7.7e-11				2e-11	2.3e-12		1.1e-12				3.1e-20					1.2e-16	1.1e-12	5.5e-21	2.6e-12					8.1e-11			6e-13	9.3e-14	7.6e-11											5.4e-14			9.4e-18					2.4e-21	9.6e-12		2.2e-15	1.3e-14		1.7e-14		7e-11			3e-24				1.9e-16	2.3e-22			1e-12	5.6e-18					5e-14
NCVOG0018	1.9e-13	1.9e-32	7.2e-11	1.2e-17		1.1e-21	1.1e-17		1.1e-13	3.3e-13	1.1e-23		3.8e-36	3e-12	1.3e-17	2.2e-14	1.4e-13	1.6e-12	1.3e-15	1.2e-11	1.1e-23	1.2e-22		2e-13	1.1e-12	7e-13	3.4e-11		1.8e-14	5.2e-14	1.1e-12		2.3e-13	1.4e-12		1.7e-13	2.2e-12	1.6e-13			2.6e-14			2e-19	1.9e-19		3.8e-17		3.5e-19	2.6e-21	1.1e-19	1.5e-14	1.3e-13	1.2e-18		2.6e-17		1.2e-11	7.9e-25	2e-14	6.4e-18	1.8e-27		3e-12	1.5e-19	1.8e-12	1.4e-13	2.1e-22	1.2e-14	1.9e-15		1.9e-12	1.5e-20	2.8e-12	4.2e-15
NCVOG0020																1.5e-29								3.1e-80	1.7e-38	2.8e-72																			3e-90					2e-57						7.3e-37	2.6e-27					2.1e-36		1.3e-29					1.8e-59						1.9e-98
NCVOG0021	1.2e-11	1.2e-11		1.1e-14	1.8e-14	1.2e-12					1.6e-14	1.6e-13	1.1e-13		1.3e-24	1.1e-11	2.3e-17	2.1e-11	1.5e-17		1.3e-12	7.8e-16		1.1e-12	2.8e-12	1.8e-11	1.1e-27				1.5e-14		1.9e-12	1.6e-12	2.2e-12	1.5e-22	1.1e-23	1.2e-11	1.2e-23	1.1e-13	6.4e-11		7.7e-11	2.2e-12	3.9e-38	6.4e-33	8.6e-11		1.2e-13	3.6e-15	1.2e-18	2.4e-20	1.4e-17			2e-14	1.2e-11		1.7e-21	1.6e-17	1.6e-12	1.1e-18	1.3e-12		1.3e-21		2e-15		3.3e-13	9.6e-17		1.2e-12		1.3e-11	
NCVOG0022		2.2e-18	2e-11				1.1e-21					3.4e-20										8e-21									4.1e-15			2.6e-20																3.4e-19											1.5e-28	1.4e-47		1.2e-25				2.8e-19		1.1e-28					
NCVOG0023	1.5e-25	1.5e-31	1.1e-22	2.2e-23			1.2e-12			1.1e-19	1.9e-12	2.8e-37			1.6e-21				4.5e-26	1.2e-40	1e-37	1.2e-11		1.1e-12					9.4e-64	5.3e-65	1.1e-16	1.1e-36	1.2e-15	1.7e-29	1e-19	1.9e-44	2.2e-25	1.1e-13	3.4e-45	2.8e-35				1.3e-14			1e-36	1.4e-27	1.2e-30	1.3e-32		4.9e-20		1.9e-43				1.6e-25	1.9e-23	2.5e-31	3.9e-22	1.2e-19	3.3e-21	1.1e-12	1.7e-40	3.1e-43	1.2e-27	1.4e-13	2.7e-11	1.4e-12		1.1e-24	1.2e-39	1.1e-24	
NCVOG0024				2.9e-13																																													1.9e-11																				1.8e-12				2.7e-16		
NCVOG0025	1.1e-13	1.1e-13	1.1e-12	1.1e-11	1.2e-13	1.2e-14	1.3e-12		1.2e-12	1.3e-20	1.4e-11	1.1e-12	1.1e-12	2.1e-12	1.2e-11	1.1e-11	1.1e-24	2e-11	1.5e-12	1.3e-14	1.2e-11	1.1e-11	1.7e-13	1.1e-12	1.3e-12	1.3e-11	1.1e-11		1.2e-25	1.2e-19	1.2e-14	1.1e-12	1.1e-16	1.2e-13	1.4e-11	1.3e-13	1.1e-11	1.1e-16	1.4e-13	1.2e-14	1.1e-13	1.1e-13	1.1e-13	1.1e-26	1.1e-13	1.2e-22	4.8e-11	1.6e-16	1.4e-12	1.1e-11	1.1e-11	1.5e-11	1.1e-15	1.1e-13	1.7e-12	1.9e-11	1.1e-13	1.1e-18	1.1e-12	1.4e-27	1.2e-12	1.6e-14	1.1e-14	1.1e-11	1.3e-15	1.1e-12	1.7e-13	1.6e-12	1.1e-11	2.2e-12		1.3e-15	3.2e-13	1.2e-13	1.4e-19
NCVOG0027				5.7e-13			3.1e-12			2.7e-20																																					5.2e-12		4.2e-11																										
NCVOG0029	1.8e-19	7.9e-16	1.3e-11	1.4e-14	4.5e-29	4.6e-47			2.2e-13	1.4e-14	1.1e-28	1.1e-47	1.1e-22	1.5e-13	2.4e-20		1.5e-19	2.1e-11	1.1e-17	2.4e-19	1.2e-14	3.4e-12	1.1e-12	1.4e-12	4.7e-18	3.4e-12	1.7e-11		6.5e-24	1.4e-22	1.7e-23	1e-12	1.1e-69	9e-16							3.3e-30	3.3e-14	3e-18	1e-12	1.1e-12	1.5e-12	1.2e-15	2.4e-11	1.3e-18	1.1e-14	1.7e-11	1.1e-26	1.3e-12	3.2e-33	2.8e-14	3.3e-11		1.8e-16	2.9e-62	1.4e-18	1.4e-22	1.2e-11	1.5e-31	2e-14	1.8e-15	1.4e-12	1.7e-11		1.1e-13	2.4e-12			2.3e-11	1.4e-15	1.5e-12
NCVOG0030	1.2e-47	1.5e-26	3.3e-12	1.7e-23	2.5e-29	2.1e-14			4.6e-22	1.9e-28	3.9e-18	1.6e-26	1.9e-26	1.7e-13	2.2e-15	1.5e-11	3.1e-29	1.3e-13	1.5e-13	1.3e-19	7.4e-27	3.1e-27	1.6e-27	1.1e-28	1.1e-28	1.9e-15	5.5e-25		1.4e-15	5.1e-28	1.3e-19	3.5e-39	2.2e-11	1.5e-13	1.7e-27	1.2e-26	1.4e-27	3.9e-27	1e-26	1.1e-11	1.4e-13	3.8e-11	1.1e-26	2.9e-30	2.1e-18	1.8e-17	5.1e-16	2.1e-16	4.9e-42	1.3e-14	1.2e-19	2.1e-42	1.2e-44	2.9e-30	1.8e-13	1.1e-20	2.6e-26	3.8e-43	1.2e-53	5e-53	1.3e-14	8.4e-41	3.5e-13	2.2e-27	2.9e-28	1.1e-22	4.6e-27	8.7e-28	1.1e-13	1.4e-25		3.5e-28	1.2e-26	3.6e-16	1.2e-11
NCVOG0031				1.6e-11			1.6e-22																								9.8e-15	7.6e-17			5e-18												6.3e-14	2.2e-20	1.1e-17			1.1e-13		4.3e-22					1.2e-14	1.1e-11				3.3e-21					3.4e-17						
NCVOG0032	1.5e-19	1.7e-13	1.2e-13	1.2e-17	1.9e-15	1e-13	1.1e-16		1.8e-12	1.5e-11	1.7e-17	1.2e-14	1.1e-17	2.8e-15	1.1e-12	1.2e-14	2.2e-12	1.9e-21	1.4e-15	1.2e-11	1.1e-13	3.7e-18	1.2e-13	1.7e-17	1.2e-13	1.1e-13	1.2e-12		1.6e-27	2e-17	1.1e-15	1.1e-15	1.1e-12	1.7e-12	1.3e-12	1.2e-15	1e-14	1.1e-20	1.3e-15	1.3e-15	1.4e-14	1.2e-14	2.7e-12	1.1e-18	1.1e-15	1.1e-14	1.5e-13	1.7e-14	1.7e-12	1.2e-15	2.3e-12		1.2e-21	1.3e-19	1.1e-15	1.3e-14	1.4e-13	1.3e-16	1.2e-17	1.5e-16	1.1e-14	1.8e-16	1.2e-13	1.1e-20	1.1e-17	1.5e-19	1.3e-26	1.3e-11	1.1e-18	1.2e-11		1.1e-19	1.5e-12	1.4e-16	4.2e-14
NCVOG0033											1.4e-12																															2.2e-13			1.7e-13			8.1e-12	2.1e-11																										
NCVOG0034										4.4e-20					1.1e-15		1.6e-16	6.8e-15	2.5e-14	1.6e-23	2.6e-15	3e-14		5.6e-11					1.7e-21	1.4e-19	1.5e-11		2.7e-12												1.4e-21					1.8e-18	3.2e-11		4.7e-14					1.5e-11			1.8e-14		4.7e-13		6.2e-15					5e-19		5.8e-11	2.6e-27		1.6e-11
NCVOG0035																				9.4e-11																																																							
NCVOG0036	1.1e-25	3e-25	2.3e-25	1.9e-24	4.6e-14	3.1e-25	4.7e-16		2e-14	3.6e-15	1.9e-11	4.5e-24	2.2e-23		2.9e-17	8.6e-15	1.9e-16	5.2e-15	2.7e-15	1.3e-21	4.5e-15	1.1e-14	5.2e-15	1.3e-15	1.3e-18	7.5e-23	3.8e-17		1.6e-26	1.7e-27	6.9e-18	1.4e-12	5.4e-17	2.4e-16	1.2e-15	2.5e-16	6.3e-16	1.8e-15	2.2e-15	6.3e-17	1.3e-19	1.3e-25	1.2e-17	1.2e-16		2.8e-18			5e-23	2.8e-22	1.5e-18	1.7e-12	2.3e-15	1.2e-20	1.1e-17	1.2e-26	4.2e-16	1.9e-21	1.9e-23	1.9e-25	1.3e-17	7.5e-15	1.8e-15	1.9e-26	1.8e-16	3.7e-13	2e-15	2e-13	1.1e-33	1.5e-20		4.3e-17	2e-15	9.4e-17	
NCVOG0037	0	0	0	3.3e-19	3.1e-49	3e-115	1.1e-76		1.5e-22	2.6e-34	4.4e-86	1.1e-20	1.9e-90	1.7e-90	2e-45	1.8e-28	6.3e-45	2.1e-43	1.6e-43	2.1e-27	1.9e-44	1.2e-23	1.1e-20	2.2e-34	1.1e-35	2e-12	2.9e-81		1.2e-56	1e-55	1.2e-76	1.6e-98	1.3e-154	5.3e-32	1.2e-44	3.5e-85	3.4e-85	3.8e-46	1.3e-83	1.2e-47	1e-33	4.7e-155	2.2e-56	3.2e-40	1.1e-34	4e-127	1.2e-32	5.5e-32	1.9e-21	1.1e-126	5.5e-28	9.3e-12	1.3e-142	1.6e-34	1.2e-37	1.5e-20	9.5e-37	1.6e-49	1e-21	4.5e-161	1.7e-33	2.2e-32	2.5e-94	1.4e-56	1.1e-12	1.3e-15	1.5e-33	5.9e-33	1.1e-31	2.6e-20		1.5e-33	2.3e-56	2.9e-160	1.3e-32
NCVOG0038	1.2e-17	1.2e-92	1.3e-73	1.2e-13		5.8e-19	1.1e-44		1.8e-16		4.5e-21	1.8e-67	1.2e-54	2.1e-17	2e-24	2.7e-16	6.7e-23	2.9e-22	2.2e-22	1.1e-13	8.5e-21	2.2e-46	5.5e-25	1.8e-13	1.1e-18	1e-12	1.5e-13		2.4e-26	5.6e-12	1.1e-20	1.1e-18	1.4e-61	1.9e-18	1.4e-18	1.5e-31	2.1e-33	1.1e-31	4.9e-31	1.4e-32	3.1e-28	2.4e-50	3.1e-51	1.2e-22	3.4e-12	5.4e-42	9.9e-35	1.8e-16	3.6e-11	1.5e-19	1.1e-14	1.9e-33	1.6e-22	1.2e-28	1.3e-13	3e-20	7.7e-12	1.1e-12	1.9e-12	1.3e-64	2.6e-13	1.7e-52	1.4e-24	1.5e-85	1.4e-15	2.2e-18		6.9e-29	1.1e-16	1.9e-23		1.5e-30	1.3e-76	2.7e-25	
NCVOG0040										9.8e-11								2.7e-11			1.3e-11																													2.1e-12														1.5e-14						2.8e-11					
NCVOG0044																				1.2e-12									1.6e-12	1.5e-11														1.3e-18							1.7e-13										2.5e-14					1.7e-11				1.1e-11					
NCVOG0046	1.5e-13	1.2e-12	3.7e-14	1.9e-13					1.1e-15	1.8e-15	1.1e-11	1.5e-13	1.6e-12	2.4e-12	2.5e-12		1.9e-12	4.7e-14	2.2e-11	3.2e-15	2.2e-12	6.6e-11		2.1e-12	1.2e-12	5.1e-11			1.2e-15	3e-14	1.1e-12	4.6e-11	1.3e-11	2.9e-14	3.9e-13	2.9e-13	2.4e-13	6.8e-13	8.2e-13	3.1e-15		1.5e-12		1.4e-12	2.1e-11	4.1e-11			1.6e-12	1.2e-11	1.6e-12		2.4e-11	1.5e-13			5e-14		3.7e-14	7.2e-11	1.1e-13			1e-12	1.2e-12	1.2e-11		1.4e-11	1.2e-15	1.4e-11				5.1e-14	1.6e-12
NCVOG0047																																									1.1e-14												3.7e-17											4.1e-11					1.5e-25						
NCVOG0050																																																				7.4e-11																							
NCVOG0052	1.7e-14	3.6e-13	1.3e-15	1.4e-11	2.7e-13	7.7e-13	5.8e-12		1.7e-24	4e-15		1.5e-11		7.7e-11		1.2e-13							1.1e-17			1.3e-15	1.3e-15				6e-16	3e-12	1.6e-14	6.2e-16	2.4e-11		4.2e-11			1.6e-11	1.4e-11	2.3e-19	2.4e-11	1e-16	1.3e-24	1.5e-15			2e-11	3.3e-14		7.4e-13	2.7e-12	4.6e-12	5.2e-12		1.6e-11		2.3e-11	2.1e-11		8.5e-11	3.2e-11	3.8e-18			1.3e-18	1.5e-13	1.6e-12			1.6e-13	4.6e-15		
NCVOG0054																																													1.2e-13																														
NCVOG0055	5.1e-23	3.9e-18		5.4e-11	1.3e-12	2.3e-21	2.7e-22		1.1e-12	1.2e-23		4.2e-23	1.7e-24	4.1e-22	1.8e-17	1.6e-16	1.4e-19	1.5e-27	2.5e-24	3.6e-17	1.7e-25	1.3e-17	1.5e-11	1.2e-23	1e-19	5.9e-19	3.5e-20		1.8e-20	1.1e-25	3.3e-23	3.2e-15	1.9e-19	2.9e-17	2.7e-14	1.4e-21	2.7e-23	2.6e-16	1.5e-19	2.1e-23	1.1e-19	1.1e-20	6.3e-15		2.1e-14	1e-15	5.2e-17			1.2e-13	2.6e-14		1.7e-25	1.9e-12	2.3e-12	1.3e-11	1e-11	1.8e-14	1.5e-14		1.3e-14	1.2e-15	1.7e-11		1.5e-17	8.4e-22	2.2e-19	1.6e-13	1.2e-28	1e-17	2e-21	1.1e-13	1.6e-18	1.9e-13	3.1e-15
NCVOG0059	1.5e-12	2.5e-13	4.8e-11			2.6e-12	1.6e-21		3.5e-20			4.7e-12								2.8e-18		1.8e-20				3.4e-19					2e-23	7.2e-15	1.1e-17		3.4e-14	9e-14	5.3e-13	4.9e-13	6.7e-15	1.9e-16		1.6e-18						2.7e-11						2.6e-11	2.3e-15			5.2e-21			1e-17		1.8e-20		9e-14	4.6e-11		1.1e-21	2.5e-14				4.9e-14		
NCVOG0061	1.4e-34	2.6e-33	1e-30			5.9e-11			1.4e-15	1.1e-15		1.7e-22				3.1e-28				1.1e-27				4.6e-13	2.1e-32	1.1e-41	4.9e-32						3.5e-12		1.9e-31	4.5e-30	1.6e-30	4.7e-30	4.6e-30	1.4e-31		6e-38	1.1e-24	4.6e-11	1.5e-39	3.5e-15				2.2e-18			2.3e-33	3.7e-24		6.2e-42	9e-21					1e-15	1.4e-33		1.2e-18	5.7e-28			1.1e-16			3.5e-12	3.9e-14		1.6e-51
NCVOG0063																																	6e-16									4.6e-12																																	
NCVOG0064	3.7e-15	1.1e-14	1.8e-14	6.3e-11		8.7e-17	1.5e-14			1.7e-11	4.7e-11	3e-16	6.3e-11		7.8e-12	3.3e-12				7.8e-11				3.6e-15	1.2e-11	5.9e-24			1.7e-12	1.2e-12	3.8e-17	4.8e-12	3.4e-11	1.4e-14	1.1e-12	1.1e-12	6.1e-13	9.9e-13	2.5e-12	7.3e-14		3.3e-13	7.2e-11	1.1e-15		3.7e-12			5.7e-11	4.4e-13	1.2e-11		1.9e-11	4.4e-13		1.1e-28	1.3e-14	1.7e-11	3.1e-11	3.4e-15	9e-16	2.2e-12	4.8e-14	1.1e-13		1e-11	1.5e-11	3.3e-13	1.3e-12	1.3e-16		4.1e-11	3.5e-11	1e-12	6e-15
NCVOG0065									1.1e-13																																												1.2e-12																3.1e-13				4.4e-29		
NCVOG0066				3.2e-12	1.9e-28		1.7e-23		1.2e-33	3.2e-14	2.6e-19				3.2e-19	2.4e-21	1.6e-24	3.6e-18	2e-18	2.3e-25	2.4e-17	1.6e-30	3.9e-19				1.1e-21				2e-14	1.6e-12	3.6e-13	2.5e-61	2.4e-15	7.3e-24	1.8e-14	1.4e-26	3.6e-23	1.1e-24	1.3e-12	1.4e-32	2.8e-36		1.6e-26	1.5e-30			8e-18	1.3e-45	1.2e-33	1.4e-22	1.2e-48	1.3e-27		7.3e-17	8.6e-26	3.5e-31	1.4e-13	6.5e-12	1.5e-22	1.4e-29	7.5e-35		2.1e-28	8.3e-12	4.2e-22	3.9e-15	1.1e-11	1.2e-35		1.3e-14	2.7e-27	1.6e-12	
NCVOG0067																																									5.6e-14				4.4e-22																						2.1e-11		7.9e-23						
NCVOG0068																																																													8.9e-15														
NCVOG0070																															1.2e-15																													5.2e-15															
NCVOG0072																															1.5e-11																																					7.4e-25							
