VOG	Batrachochytrium_dendrobatidis_JAM81_v1.0	Ccinerea	Celegans	Dmelanogaster	Hsapiens	NcrassaOR74A	Pblakesleeanus	ScerevisiaeS288c
NCVOG0169				3R			PblaNRRL1555-_SC15	BK006948
NCVOG0184							PblaNRRL1555-_SC15	
NCVOG0185	scaffold_1	AACS02000001	I	2R		CM002236	PblaNRRL1555-_SC15	
NCVOG0188			II				PblaNRRL1555-_SC15	
NCVOG0190	scaffold_12	AACS02000001	I			CM002237	PblaNRRL1555-_SC15	BK006945
NCVOG0191	scaffold_14		IV			CM002236	PblaNRRL1555-_SC11	
NCVOG0196	scaffold_6	AACS02000008	I	211000022280447		CM002236	PblaNRRL1555-_SC15	
NCVOG0213			I			CM002240	PblaNRRL1555-_SC04	
NCVOG0214	scaffold_12	AACS02000007	I	X		CM002238	PblaNRRL1555-_SC26	BK006936
NCVOG0215	scaffold_2	AACS02000003					PblaNRRL1555-_SC08	BK006943
NCVOG0218	scaffold_12	AACS02000008				CM002241	PblaNRRL1555-_SC11	BK006945
NCVOG0219		AACS02000001	X			CM002241	PblaNRRL1555-_SC62	
NCVOG0222	scaffold_4		II	2R			PblaNRRL1555-_SC16	BK006947
NCVOG0225	scaffold_14							
NCVOG0226	scaffold_1	AACS02000004				CM002241	PblaNRRL1555-_SC15	
NCVOG0228	scaffold_1	AACS02000010				CM002239	PblaNRRL1555-_SC07	BK006936
NCVOG0230				X				
NCVOG0233	scaffold_8	AACS02000004	IV	2R		CM002241	PblaNRRL1555-_SC02	BK006941
NCVOG0241						CM002236	PblaNRRL1555-_SC09	BK006936
NCVOG0242	scaffold_16		I	2R		CM002236		BK006945
NCVOG0243	scaffold_7			3R		CM002242		
NCVOG0244	scaffold_3			3L			PblaNRRL1555-_SC04	
NCVOG0248		AACS02000012		2L		CM002238	PblaNRRL1555-_SC03	BK006946
NCVOG0256				2L				
NCVOG0267	scaffold_13	AACS02000001	III	2L		CM002237	PblaNRRL1555-_SC02	BK006944
NCVOG0268	scaffold_2	AACS02000004	II	2L		CM002240	PblaNRRL1555-_SC62	BK006938
NCVOG0269			V	3R			PblaNRRL1555-_SC11	BK006944
NCVOG0271	scaffold_8	AACS02000001				CM002237	PblaNRRL1555-_SC22	BK006948
NCVOG0273						CM002239		BK006936
NCVOG0274	scaffold_3	AACS02000001	IV	X		CM002236	PblaNRRL1555-_SC16	BK006948
NCVOG0275	scaffold_17		V	2L		CM002237		BK006947
NCVOG0276	scaffold_4	AACS02000005	III	2R		CM002238	PblaNRRL1555-_SC05	BK006943
NCVOG0277		AACS02000005						
NCVOG0280	scaffold_4	AACS02000002				CM002236	PblaNRRL1555-_SC12	BK006938
NCVOG0282	scaffold_9	AACS02000007	V	3R		CM002239	PblaNRRL1555-_SC12	BK006934
NCVOG0284		AACS02000001	I	3R		CM002236	PblaNRRL1555-_SC04	BK006949
NCVOG0296	scaffold_2		V			CM002236	PblaNRRL1555-_SC19	
NCVOG0297	scaffold_2	AACS02000005	II	2L		CM002238	PblaNRRL1555-_SC12	BK006949
NCVOG0301	scaffold_16	AACS02000008				CM002240	PblaNRRL1555-_SC12	BK006949
NCVOG0302	scaffold_16	AACS02000008	II			CM002240	PblaNRRL1555-_SC12	BK006949
NCVOG0304	scaffold_2	AACS02000008	V	3R		CM002236	PblaNRRL1555-_SC12	BK006940
NCVOG0305	scaffold_10	AACS02000010	I	3R		CM002236	PblaNRRL1555-_SC12	BK006935
NCVOG0307								BK006946
NCVOG0308							PblaNRRL1555-_SC47	BK006944
NCVOG0310			V	2L				
NCVOG0312			I			CM002241	PblaNRRL1555-_SC05	BK006938
NCVOG0314	scaffold_1						PblaNRRL1555-_SC11	BK006947
NCVOG0317			III	X				
NCVOG0319			IV					
NCVOG0320								BK006943
NCVOG0321	scaffold_93							
NCVOG0326	scaffold_93							
NCVOG0329		AACS02000001	X	3R		CM002240	PblaNRRL1555-_SC43	BK006946
NCVOG0331						CM002238		BK006942
NCVOG0332				3L				
NCVOG0333	scaffold_5		II	3L		CM002241	PblaNRRL1555-_SC01	BK006944
NCVOG0334	scaffold_105	AACS02000003				CM002240		
NCVOG0335						CM002237		
NCVOG0360	scaffold_6	AACS02000013	II	X		CM002239	PblaNRRL1555-_SC23	BK006943
NCVOG0370	scaffold_4							BK006944
NCVOG0399				X			PblaNRRL1555-_SC05	BK006944
NCVOG0424	scaffold_6	AACS02000004	X				PblaNRRL1555-_SC20	
NCVOG0450	scaffold_6	AACS02000003				CM002241		
NCVOG0451	scaffold_4					CM002237	PblaNRRL1555-_SC34	
NCVOG0465			X			CM002238	PblaNRRL1555-_SC15	BK006936
NCVOG0486	scaffold_15	AACS02000002	I	3L		CM002240	PblaNRRL1555-_SC01	BK006941
NCVOG0504	scaffold_1	AACS02000006	IV			CM002241	PblaNRRL1555-_SC17	BK006941
NCVOG0517	scaffold_91	AACS02000005	III	3L		CM002241	PblaNRRL1555-_SC05	BK006944
NCVOG0522	scaffold_14		II				PblaNRRL1555-_SC03	BK006949
NCVOG0531	scaffold_8	AACS02000008					PblaNRRL1555-_SC16	BK006945
NCVOG0541	scaffold_7							
NCVOG0552							PblaNRRL1555-_SC09	
NCVOG0566							PblaNRRL1555-_SC09	
NCVOG0580		AACS02000011				CM002241	PblaNRRL1555-_SC05	BK006948
NCVOG0585				2R				
NCVOG0603			II				PblaNRRL1555-_SC03	
NCVOG0604				2R				
NCVOG0605	scaffold_5	AACS02000026	III			CM002239	PblaNRRL1555-_SC04	BK006946
NCVOG0613	scaffold_2		I	3R		CM002240	PblaNRRL1555-_SC17	BK006944
NCVOG0644	scaffold_2			X				BK006945
NCVOG0647		AACS02000006	IV	2L		CM002236	PblaNRRL1555-_SC17	
NCVOG0651						CM002240		BK006948
NCVOG0652	scaffold_30		V			CM002237	PblaNRRL1555-_SC06	BK006937
NCVOG0657		AACS02000037	V			CM002236	PblaNRRL1555-_SC05	BK006948
NCVOG0663			II	X				
NCVOG0669	scaffold_7		IV	3L		CM002239	PblaNRRL1555-_SC01	
NCVOG0679		AACS02000009	III	3L		CM002242	PblaNRRL1555-_SC01	
NCVOG0680						CM002236	PblaNRRL1555-_SC17	
NCVOG0683			III			CM002236	PblaNRRL1555-_SC11	
NCVOG0689			III	2R		CM002241	PblaNRRL1555-_SC05	BK006936
NCVOG0719	scaffold_14	AACS02000005	X	3R		CM002237	PblaNRRL1555-_SC08	
NCVOG0720		AACS02000011						
NCVOG0729	scaffold_8		IV	2R		CM002236	PblaNRRL1555-_SC03	BK006941
NCVOG0733				3R				
NCVOG0734			I					
NCVOG0744	scaffold_1	AACS02000008	III	X		CM002238	PblaNRRL1555-_SC17	BK006938
NCVOG0756						CM002236		
NCVOG0757	scaffold_23			3R				BK006938
NCVOG0763	scaffold_9	AACS02000002	I	X		CM002241	PblaNRRL1555-_SC03	BK006944
NCVOG0775		AACS02000011						
NCVOG0777	scaffold_12	AACS02000008	IV	211000022280520		CM002236	PblaNRRL1555-_SC10	
NCVOG0778							PblaNRRL1555-_SC02	
NCVOG0780		AACS02000007				CM002237		
NCVOG0785							PblaNRRL1555-_SC02	BK006942
NCVOG0789							PblaNRRL1555-_SC02	
NCVOG0806	scaffold_3	AACS02000007	V			CM002238	PblaNRRL1555-_SC21	BK006947
NCVOG0820						CM002236		
NCVOG0822		AACS02000006	IV			CM002239		
NCVOG0832			IV					
NCVOG0835	scaffold_2							
NCVOG0836						CM002236		
NCVOG0844							PblaNRRL1555-_SC09	
NCVOG0868	scaffold_5	AACS02000004	III			CM002236	PblaNRRL1555-_SC15	
NCVOG0890			V			CM002237		
NCVOG0892				3R				
NCVOG0893	scaffold_14		V			CM002236		BK006939
NCVOG0898		AACS02000002	I			CM002236	PblaNRRL1555-_SC04	
NCVOG0901	scaffold_16	AACS02000008	V			CM002241	PblaNRRL1555-_SC03	BK006944
NCVOG0924				3L				BK006938
NCVOG0976	scaffold_5		X	3L		CM002237	PblaNRRL1555-_SC04	BK006936
NCVOG0979	scaffold_1	AACS02000002	V	3L		CM002238	PblaNRRL1555-_SC40	BK006936
NCVOG0985	scaffold_16	AACS02000003	I			CM002241	PblaNRRL1555-_SC05	BK006947
NCVOG0987	scaffold_12	AACS02000001	I	211000022279070		CM002239	PblaNRRL1555-_SC04	BK006938
NCVOG0992						CM002236	PblaNRRL1555-_SC04	
NCVOG0995		AACS02000004						
NCVOG0996	scaffold_9		X			CM002236	PblaNRRL1555-_SC04	BK006944
NCVOG0999								BK006944
NCVOG1003								BK006941
NCVOG1004				2R				
NCVOG1006	scaffold_8							
NCVOG1007			V					
NCVOG1009	scaffold_32	AACS02000005	I			CM002241	PblaNRRL1555-_SC40	BK006942
NCVOG1013	scaffold_6							
NCVOG1029			III					
NCVOG1045	scaffold_12	AACS02000005		X		CM002237	PblaNRRL1555-_SC28	BK006948
NCVOG1046			II	211000022280427		CM002236	PblaNRRL1555-_SC05	
NCVOG1049	scaffold_121	AACS02000008	II			CM002238	PblaNRRL1555-_SC06	BK006941
NCVOG1056			I			CM002240	PblaNRRL1555-_SC25	
NCVOG1060			I	2R				BK006944
NCVOG1061								BK006938
NCVOG1062	scaffold_176	AACS02000017	X				PblaNRRL1555-_SC15	
NCVOG1064								BK006934
NCVOG1066	scaffold_23					CM002236		
NCVOG1068	scaffold_18		I	2L		CM002236	PblaNRRL1555-_SC15	BK006936
NCVOG1069		AACS02000011						
NCVOG1087			V					
NCVOG1115	scaffold_4		III			CM002236		BK006946
NCVOG1117								BK006936
NCVOG1120	scaffold_12		X			CM002236	PblaNRRL1555-_SC02	BK006944
NCVOG1121	scaffold_5	AACS02000006				CM002241	PblaNRRL1555-_SC09	BK006944
NCVOG1127	scaffold_5	AACS02000005	V			CM002239	PblaNRRL1555-_SC01	BK006949
NCVOG1128	scaffold_14							BK006949
NCVOG1136	scaffold_4	AACS02000010	I			CM002242	PblaNRRL1555-_SC02	BK006948
NCVOG1139			III				PblaNRRL1555-_SC11	
NCVOG1149			X					
NCVOG1154		AACS02000004	II	211000022280427		CM002236	PblaNRRL1555-_SC05	BK006946
NCVOG1155						CM002237		
NCVOG1158							PblaNRRL1555-_SC03	
NCVOG1178				211000022279070				
NCVOG1181							PblaNRRL1555-_SC62	
NCVOG1188	scaffold_12	AACS02000004	V			CM002236	PblaNRRL1555-_SC14	BK006943
NCVOG1194	scaffold_4	AACS02000002	III	2L		CM002236	PblaNRRL1555-_SC15	
NCVOG1196		AACS02000011	V	2L		CM002236	PblaNRRL1555-_SC47	BK006944
NCVOG1197						CM002236		
NCVOG1198			II					
NCVOG1199			II					
NCVOG1200	scaffold_4					CM002237	PblaNRRL1555-_SC09	
NCVOG1226		AACS02000026						
NCVOG1242	scaffold_96							
NCVOG1243			II	3R				BK006945
NCVOG1272			V				PblaNRRL1555-_SC62	
NCVOG1298	scaffold_6	AACS02000004	II			CM002242	PblaNRRL1555-_SC17	BK006935
NCVOG1299	scaffold_5		I	X		CM002238	PblaNRRL1555-_SC45	BK006938
NCVOG1326	scaffold_2	AACS02000008	III	3L			PblaNRRL1555-_SC45	BK006943
NCVOG1332			V			CM002240	PblaNRRL1555-_SC47	
NCVOG1337			IV	3R				
NCVOG1351	scaffold_2	AACS02000001				CM002237	PblaNRRL1555-_SC42	BK006943
NCVOG1352	scaffold_17	AACS02000024				CM002242	PblaNRRL1555-_SC31	BK006946
NCVOG1353	scaffold_5	AACS02000008	III	2L		CM002237	PblaNRRL1555-_SC20	BK006939
NCVOG1359			V					
NCVOG1360			I			CM002236	PblaNRRL1555-_SC17	BK006944
NCVOG1364		AACS02000053	V			CM002241	PblaNRRL1555-_SC47	BK006934
NCVOG1377								BK006944
NCVOG1410				2L				
NCVOG1424							PblaNRRL1555-_SC47	
NCVOG1427			IV				PblaNRRL1555-_SC04	
NCVOG1451								BK006936
NCVOG2058	scaffold_4					CM002237	PblaNRRL1555-_SC34	
NCVOG2204		AACS02000005		2L		CM002236		BK006948
NCVOG2216								BK006948
NCVOG2223		AACS02000001	X	3R				
NCVOG2246	scaffold_4					CM002242	PblaNRRL1555-_SC18	
NCVOG2254						CM002240		
NCVOG2295			I					
NCVOG2608						CM002236	PblaNRRL1555-_SC05	
NCVOG2610	scaffold_5			211000022279070		CM002236	PblaNRRL1555-_SC02	BK006946
NCVOG2634							PblaNRRL1555-_SC17	
NCVOG2639						CM002238		
NCVOG2642			III					BK006946
NCVOG2643			I	2L			PblaNRRL1555-_SC16	
NCVOG2727							PblaNRRL1555-_SC62	
NCVOG2731						CM002236	PblaNRRL1555-_SC03	
NCVOG2734	scaffold_3	AACS02000007	IV	4		CM002239		
NCVOG2763							PblaNRRL1555-_SC05	
NCVOG2772		AACS02000003	I	2L		CM002236	PblaNRRL1555-_SC47	
NCVOG2775	scaffold_2	AACS02000010	IV	4		CM002239	PblaNRRL1555-_SC04	BK006941
NCVOG2860	scaffold_4	AACS02000003				CM002237	PblaNRRL1555-_SC34	
NCVOG2900	scaffold_4							
NCVOG2958				2R				BK006947
NCVOG2963	scaffold_191	AACS02000006	III	2L		CM002240	PblaNRRL1555-_SC17	BK006944
NCVOG2977		AACS02000037				CM002240	PblaNRRL1555-_SC05	BK006948
NCVOG2979			IV	3L			PblaNRRL1555-_SC03	BK006940
NCVOG2980	scaffold_12	AACS02000009	I			CM002241	PblaNRRL1555-_SC03	BK006934
NCVOG3000	scaffold_5		I	X		CM002236	PblaNRRL1555-_SC15	BK006945
NCVOG3044							PblaNRRL1555-_SC62	
NCVOG3063							PblaNRRL1555-_SC11	
NCVOG3078		AACS02000005						BK006949
NCVOG4001	scaffold_1	AACS02000006	III			CM002239	PblaNRRL1555-_SC04	
NCVOG4008						CM002236	PblaNRRL1555-_SC47	BK006946
NCVOG4020						CM002239	PblaNRRL1555-_SC05	BK006945
NCVOG4022	scaffold_13					CM002237	PblaNRRL1555-_SC32	BK006938
NCVOG4024	scaffold_56							
NCVOG4045	scaffold_1			3L			PblaNRRL1555-_SC23	
NCVOG4069		AACS02000002	IV	2L		CM002236	PblaNRRL1555-_SC20	BK006941
NCVOG4105	scaffold_1	AACS02000003	IV	3L		CM002237	PblaNRRL1555-_SC06	BK006936
NCVOG4111	scaffold_4							
NCVOG4115	scaffold_4							
NCVOG4116	scaffold_4					CM002237	PblaNRRL1555-_SC34	
NCVOG4122	scaffold_4		IV			CM002237	PblaNRRL1555-_SC34	
NCVOG4123	scaffold_4							
NCVOG4129							PblaNRRL1555-_SC05	BK006942
NCVOG4134	scaffold_1	AACS02000002	V	3R		CM002241	PblaNRRL1555-_SC02	BK006947
NCVOG4140								BK006941
NCVOG4147								BK006938
NCVOG4154	scaffold_4	AACS02000004	IV	X		CM002241	PblaNRRL1555-_SC05	BK006949
NCVOG4163								BK006944
NCVOG4170		AACS02000010				CM002236	PblaNRRL1555-_SC25	BK006945
NCVOG4184			III				PblaNRRL1555-_SC09	
NCVOG4241		AACS02000006				CM002238	PblaNRRL1555-_SC09	
NCVOG4251		AACS02000003				CM002236	PblaNRRL1555-_SC25	BK006947
NCVOG4267								BK006948
NCVOG4274				3R				
NCVOG4324	scaffold_9	AACS02000002	V	2L		CM002240	PblaNRRL1555-_SC13	BK006949
NCVOG4342						CM002236		
NCVOG4344	scaffold_2	AACS02000004				CM002239	PblaNRRL1555-_SC04	
NCVOG4357		AACS02000012	V	3L		CM002242	PblaNRRL1555-_SC03	BK006936
NCVOG4414	scaffold_4					CM002237		
NCVOG4416	scaffold_4							
NCVOG4419	scaffold_4							
NCVOG4421	scaffold_4					CM002237		
NCVOG4423	scaffold_4					CM002237	PblaNRRL1555-_SC34	
NCVOG4431		AACS02000004				CM002240	PblaNRRL1555-_SC47	BK006941
NCVOG4445	scaffold_4	AACS02000003		3R		CM002237		
NCVOG4462		AACS02000006	IV			CM002238	PblaNRRL1555-_SC13	
NCVOG4477		AACS02000012	V	2R		CM002239	PblaNRRL1555-_SC03	BK006948
NCVOG4494	scaffold_1	AACS02000003	III	3R		CM002236	PblaNRRL1555-_SC12	BK006943
NCVOG4498			IV					
NCVOG4499		AACS02000011		2R				
NCVOG4504			I			CM002238	PblaNRRL1555-_SC03	
NCVOG4505		AACS02000002		3R		CM002240	PblaNRRL1555-_SC10	
NCVOG4511		AACS02000005				CM002241	PblaNRRL1555-_SC11	BK006945
NCVOG4518						CM002239		
NCVOG4522	scaffold_1		V			CM002240	PblaNRRL1555-_SC10	BK006941
NCVOG4523	scaffold_1	AACS02000002				CM002240	PblaNRRL1555-_SC06	BK006939
NCVOG4533	scaffold_14		X	3R			PblaNRRL1555-_SC35	
NCVOG4561		AACS02000005	II	3R		CM002241	PblaNRRL1555-_SC11	
NCVOG4566	scaffold_5		X	3R		CM002241	PblaNRRL1555-_SC11	BK006944
NCVOG4568	scaffold_5	AACS02000002				CM002241	PblaNRRL1555-_SC05	BK006944
NCVOG4582		AACS02000002				CM002238		
NCVOG4584	scaffold_14		IV	X				
NCVOG4587	scaffold_14						PblaNRRL1555-_SC11	
NCVOG4596				2R		CM002241	PblaNRRL1555-_SC05	BK006941
NCVOG4598	scaffold_4	AACS02000022		3L		CM002236	PblaNRRL1555-_SC11	
NCVOG4605	scaffold_5	AACS02000007	I			CM002238	PblaNRRL1555-_SC04	BK006936
NCVOG4616	scaffold_6	AACS02000011				CM002241	PblaNRRL1555-_SC05	BK006944
NCVOG4635								BK006948
NCVOG4640				2L				
NCVOG4655		AACS02000005	V			CM002241	PblaNRRL1555-_SC05	BK006948
NCVOG4665		AACS02000037	X	2R		CM002242	PblaNRRL1555-_SC05	BK006948
NCVOG4670				2R		CM002242	PblaNRRL1555-_SC05	BK006948
NCVOG4676				4				
NCVOG4700							PblaNRRL1555-_SC04	
NCVOG4707	scaffold_6	AACS02000010	I	3L		CM002239	PblaNRRL1555-_SC07	
NCVOG4711	scaffold_12	AACS02000003	III	3R				
NCVOG4718		AACS02000011						
NCVOG4730						CM002240		
NCVOG4742								BK006948
NCVOG4744							PblaNRRL1555-_SC05	BK006948
NCVOG4754							PblaNRRL1555-_SC05	
NCVOG4779				2R				
NCVOG4780						CM002239		
NCVOG4804	scaffold_1	AACS02000009	IV	2L			PblaNRRL1555-_SC23	BK006938
NCVOG4814				2R			PblaNRRL1555-_SC05	BK006944
NCVOG4845						CM002239		
NCVOG4865				X				
NCVOG4874	scaffold_3	AACS02000008				CM002241	PblaNRRL1555-_SC05	BK006938
NCVOG4877			IV					
NCVOG4881						CM002239		
NCVOG4882	scaffold_1	AACS02000005		X		CM002236	PblaNRRL1555-_SC34	BK006938
NCVOG4883	scaffold_2		I	X		CM002239	PblaNRRL1555-_SC04	BK006939
NCVOG4894			II	3R				
NCVOG4896							PblaNRRL1555-_SC05	
NCVOG4904			X	2R			PblaNRRL1555-_SC05	BK006948
NCVOG4907						CM002240		
NCVOG4966		AACS02000004	I	2L		CM002240	PblaNRRL1555-_SC17	BK006935
NCVOG4988								BK006947
NCVOG5007							PblaNRRL1555-_SC62	
NCVOG5031						CM002240	PblaNRRL1555-_SC05	BK006944
NCVOG5034		AACS02000006	II	X		CM002241	PblaNRRL1555-_SC11	BK006944
NCVOG5053			X			KI440766	PblaNRRL1555-_SC15	
NCVOG5057						CM002238		
NCVOG5062			V			CM002240	PblaNRRL1555-_SC14	
NCVOG5073			I				PblaNRRL1555-_SC17	
NCVOG5078	scaffold_2							
NCVOG5079			X					
NCVOG5094		AACS02000008	I	X		CM002236	PblaNRRL1555-_SC03	BK006935
NCVOG5103	scaffold_1	AACS02000011	III			CM002237	PblaNRRL1555-_SC16	BK006948
NCVOG5117	scaffold_2	AACS02000026	V			CM002241	PblaNRRL1555-_SC11	BK006948
NCVOG5130		AACS02000001					PblaNRRL1555-_SC09	BK006948
NCVOG5135							PblaNRRL1555-_SC09	
NCVOG5156						CM002236		
NCVOG5162	scaffold_4	AACS02000006	I			CM002240	PblaNRRL1555-_SC09	
NCVOG5185			V					
NCVOG5217				2R				
NCVOG5245			III			CM002240	PblaNRRL1555-_SC06	BK006940
NCVOG5283								BK006948
NCVOG5301	scaffold_4							
NCVOG5354				3L				
NCVOG5369	scaffold_7							BK006945
NCVOG5372								BK006940
NCVOG5439						CM002240	PblaNRRL1555-_SC47	
NCVOG5443				211000022278862		CM002239		
