VOG	Allomyces_arbuscula_Burma_1F	Allomyces_javanicus_California_12	Allomyces_macrogynus_ATCC_38327	Anaeromyces_robustus_v1.0	Batrachochytrium_dendrobatidis_JAM81_v1.0	Blastocladiella_britannica_v1.0	Blyttiomyces_helicus_single-cell_v1.0	Blyttiomyces_sp	Boothiomyces_macroporosum_PLAUS21	Borealophlyctis_nickersoniae_WJD170	Caecomyces_churrovis_A_v1.0	Catenaria_anguillulae_PL171_v2.0	Caulochytrium_protostelioides_ATCC_52028_single-cell_v1.0	Caulochytrium_protostelioides_ATCC_52028_v1.0	Chytridium_lagenaria_Arg66_v1.0	Chytriomyces_hyalinus_ARG085	Chytriomyces_hyalinus_ARG121	Chytriomyces_hyalinus_JEL0117	Chytriomyces_hyalinus_JEL0176	Chytriomyces_hyalinus_JEL0345	Chytriomyces_hyalinus_JEL632_v1.0	Chytriomyces_sp._MP_71_v1.0	Cladochytrium_polystomum_WB228_v1.0	Cladochytrium_replicatum_JEL714_v1.0	Cladochytrium_tenue_C_tenue	Dinochytrium_kinnereticum_KLL_TL_06062013	Entophlyctis_helioformis_JEL805_v1.0	Entophlyctis_luteolus_JEL0120	Entophlyctis_luteolus_JEL0129	Entophlyctis_sp	Fimicolochytrium_jonesii_JEL569_v1.0	Gaertneriomyces_semiglobifer_Barr_43_v1.0	Gaertneriomyces_sp	Geranomyces_michiganensis_JEL0563	Geranomyces_variabilis_JEL0379	Geranomyces_variabilis_JEL0389	Geranomyces_variabilis_JEL0566	Geranomyces_variabilis_JEL0567	Geranomyces_variabilis_JEL559_v1.0	Globomyces_pollinis-pini_Arg68_v1.0	Gonapodya_prolifera_v1.0	Gorgonomyces_haynaldii_MP57_v1.0	Homolaphlyctis_polyrhiza_JEL142_v1.0	Hyaloraphidium_curvatum_SAG235-1_v1.0	Irineochytrium_annulatum_JEL0729	Kappamyces_sp	Lobulomyces_angularis_JEL0522	Lobulomyces_sp	Neocallimastix_californiae_G1_v1.0	Nowakowskiella_sp	Obelidium_mucronatum_JEL802_v1.0	Paranamyces_uniporus_JEL0695	Paraphysoderma_sedebokerense_JEL0847	Paraphysoderma_sedebokerense_JEL821_v1.0	Pecoramyces_ruminatium_C1A	Phlyctochytrium_bullatum_JEL0754	Phlyctochytrium_planicorne_JEL0388	Physocladia_obscura_JEL0513	Piromyces_finnis_v3.0	Piromyces_sp._E2_v1.0	Podochytrium_sp	Polychytrium_aggregatum_JEL109_v1.0	Powellomyces_hirtus_BR81_v1.0	Quaeritorhiza_haematococci_JEL0916	Rhizoclosmatium_globosum_JEL800_v1.0	Rhizoclosmatium_hyalinus_JEL0917	Rhizophlyctis_rosea_JEL0318	Rhizophlyctis_rosea_JEL0764	Rhizophydium_sp	Siphonaria_sp	SmithFen_BAUOG	Spizellomyces_punctatus_DAOM_BR117	Thoreauomyces_humboldtii_JEL0095	Triparticalcar_arcticum_BR59_v1.0	Unknown_unknown_JEL0888
NCVOG0013	NODE_144_length_46700_cov_21.615898		Supercontig_11	scaffold_47	scaffold_3	scaffold_54	NODE_1265		NODE_6870_length_698_cov_144.209340	NODE_88_length_41490_cov_14.463767	scaffold_3381	scaffold_5	scaffold_248	scaffold_91	scaffold_35	NODE_15_length_209442_cov_8.734669	NODE_588_length_12557_cov_11.147837	NODE_377_length_5786_cov_6.878788	NODE_1_length_319668_cov_5.091774	NODE_999_length_3340_cov_7.627950	scaffold_34		scaffold_1	scaffold_69	NODE_1266_length_5783_cov_36.133018	NODE_668_length_8579_cov_4.248177	scaffold_14		NODE_23_length_150275_cov_9.421763	NODE_18_length_148598_cov_4.639189	scaffold_8	scaffold_20	NODE_23_length_345656_cov_15.214171	NODE_32_length_251742_cov_12.721331	NODE_21_length_261149_cov_13.865528	NODE_2_length_1046662_cov_36.997729	NODE_13_length_370313_cov_22.300857	NODE_13_length_560619_cov_22.425875	scaffold_37	scaffold_13	scaffold_51	scaffold_1		scaffold_1	NODE_346_length_24123_cov_17.873409	NODE_1165_length_2884_cov_41.469897		NODE_459_length_13902_cov_82.921881	scaffold_89	NODE_2331_length_2059_cov_7.792634	scaffold_175	NODE_460_length_28109_cov_3.219570	NODE_2120_length_1574_cov_24.724115			NODE_360_length_33295_cov_6.215726	NODE_4_length_360695_cov_9.530148	NODE_2116_length_6914_cov_19.367413	scaffold_48	scaffold_260	NODE_24_length_57270_cov_5.380485	scaffold_261	scaffold_21	NODE_2506_length_5501_cov_33.479351	scaffold_13	NODE_1554_length_2931_cov_8.931095	NODE_344_length_27149_cov_49.603576	NODE_54_length_171724_cov_6.087307	NODE_1919_length_2305_cov_11.304309	NODE_2207_length_5830_cov_6.347123		Supercontig_1			NODE_2191_length_5825_cov_31.757133
NCVOG0014	NODE_144_length_46700_cov_21.615898	NODE_1322_length_8832_cov_15.342319	Supercontig_11	scaffold_477	scaffold_3	scaffold_54			NODE_7646_length_645_cov_227.250000	NODE_1754_length_6522_cov_16.463150	scaffold_29	scaffold_5	scaffold_248	scaffold_91	scaffold_56	NODE_15_length_209442_cov_8.734669	NODE_211_length_45452_cov_10.779063	NODE_5683_length_1704_cov_10.741242	NODE_115_length_62545_cov_5.057149	NODE_3_length_303080_cov_6.446537	scaffold_13	scaffold_371	scaffold_52	scaffold_59	NODE_2235_length_2658_cov_29.387059	NODE_1676_length_2284_cov_10.330766	scaffold_14		NODE_117_length_69441_cov_9.531227	NODE_18_length_148598_cov_4.639189	scaffold_8	scaffold_20	NODE_23_length_345656_cov_15.214171	NODE_32_length_251742_cov_12.721331	NODE_21_length_261149_cov_13.865528	NODE_2_length_1046662_cov_36.997729	NODE_13_length_370313_cov_22.300857	NODE_13_length_560619_cov_22.425875	scaffold_37	scaffold_547	scaffold_79	scaffold_1		scaffold_7	NODE_464_length_20777_cov_19.462464	NODE_1165_length_2884_cov_41.469897			scaffold_141	NODE_116_length_70022_cov_9.690500	scaffold_122	NODE_439_length_30293_cov_5.741126	NODE_6189_length_660_cov_27.931389	scaffold_18	d_7180000050938	NODE_743_length_17471_cov_5.761814	NODE_4_length_360695_cov_9.530148	NODE_6370_length_1551_cov_12.832429	scaffold_43	scaffold_260	NODE_279_length_23308_cov_5.166846	scaffold_123	scaffold_21	NODE_1593_length_8515_cov_32.397962	scaffold_63	NODE_6415_length_1375_cov_5.552388	NODE_344_length_27149_cov_49.603576	NODE_529_length_20506_cov_5.507465	NODE_3604_length_817_cov_22.124324	NODE_259_length_30942_cov_5.626762		Supercontig_1			NODE_499_length_11374_cov_39.835355
NCVOG0015				scaffold_47	scaffold_3				NODE_603_length_3143_cov_140.462166	NODE_1394_length_8484_cov_14.677769	scaffold_29		scaffold_248	scaffold_91		NODE_165_length_53673_cov_11.651373	NODE_211_length_45452_cov_10.779063	NODE_15777_length_708_cov_5.163233					scaffold_90	scaffold_94	NODE_375_length_14814_cov_34.141481	NODE_3028_length_1079_cov_7.052894			NODE_23_length_150275_cov_9.421763	NODE_18_length_148598_cov_4.639189		scaffold_54		NODE_32_length_251742_cov_12.721331	NODE_21_length_261149_cov_13.865528	NODE_2_length_1046662_cov_36.997729	NODE_13_length_370313_cov_22.300857	NODE_13_length_560619_cov_22.425875	scaffold_37	scaffold_10	scaffold_19	scaffold_14		scaffold_7		NODE_321_length_9153_cov_17.323931			scaffold_28	NODE_2331_length_2059_cov_7.792634	scaffold_98	NODE_188_length_62189_cov_5.671271	NODE_2086_length_1600_cov_22.404465	scaffold_12				NODE_5390_length_2223_cov_20.561510	scaffold_2	scaffold_72	NODE_24_length_57270_cov_5.380485	scaffold_13		NODE_2506_length_5501_cov_33.479351	scaffold_49	NODE_4272_length_1770_cov_5.113408	NODE_731_length_16297_cov_54.951603	NODE_315_length_46776_cov_5.352391	NODE_270_length_8989_cov_30.758416	NODE_2207_length_5830_cov_6.347123		Supercontig_4			NODE_613_length_10582_cov_42.243290
NCVOG0017	NODE_77_length_108380_cov_21.097477		Supercontig_4			scaffold_797	NODE_71		NODE_23840_length_181_cov_111.576923					scaffold_31		NODE_4614_length_490_cov_8.087167	NODE_2253_length_846_cov_9.778934	NODE_4017_length_2090_cov_7.908097	NODE_13718_length_189_cov_5.419643							NODE_371_length_23064_cov_6.051684			NODE_73_length_94929_cov_9.233184	NODE_164_length_46618_cov_4.303861	scaffold_8											scaffold_21			NODE_1077_length_11035_cov_19.627122					NODE_16571_length_383_cov_45.091503	scaffold_71	NODE_10297_length_344_cov_3.674157	NODE_124_length_15859_cov_25.521163			NODE_1425_length_5460_cov_6.587776		NODE_975_length_11643_cov_17.545738			NODE_1297_length_6938_cov_4.534324				scaffold_2	NODE_1764_length_2763_cov_5.684289			NODE_47828_length_206_cov_6.465116	NODE_3581_length_1980_cov_5.274829					NODE_5459_length_3097_cov_46.356623
NCVOG0018	NODE_14_length_346647_cov_16.546608	NODE_440_length_18169_cov_23.117511	Supercontig_31	scaffold_856		scaffold_1310	NODE_418		NODE_172_length_6704_cov_88.886525	NODE_436_length_20805_cov_14.569134	scaffold_684		scaffold_816	scaffold_286	scaffold_76	NODE_234_length_36654_cov_9.058889	NODE_333_length_27886_cov_10.333058	NODE_7387_length_1424_cov_17.927246	NODE_499_length_15532_cov_4.788224	NODE_3_length_303080_cov_6.446537	scaffold_45	scaffold_122	scaffold_9	scaffold_48		NODE_153_length_51351_cov_10.602344	scaffold_458		NODE_193_length_45581_cov_9.916007	NODE_175_length_44143_cov_4.779535	scaffold_13	scaffold_10			NODE_116_length_62598_cov_13.683722	NODE_87_length_9673_cov_35.277333	NODE_144_length_7314_cov_18.283405			scaffold_755	scaffold_257			scaffold_24	NODE_292_length_26214_cov_9.688335		NODE_136_length_60122_cov_6.843758		scaffold_268	NODE_192_length_35481_cov_9.272173	scaffold_63	NODE_1359_length_6189_cov_3.176374	NODE_353_length_9342_cov_13.542903		d_7180000058891	NODE_472_length_27455_cov_5.509058		NODE_1121_length_10757_cov_19.984738	scaffold_31	scaffold_372	NODE_753_length_11793_cov_5.252817	scaffold_185		NODE_2399_length_5721_cov_56.713678	scaffold_4	NODE_1572_length_2922_cov_6.369420	NODE_1540_length_7667_cov_42.763241	NODE_61_length_163764_cov_5.527430	NODE_248_length_29019_cov_8.228991	NODE_369_length_26373_cov_4.487717		Supercontig_16	NODE_1367_length_4735_cov_31.051954	scaffold_9	NODE_242_length_14534_cov_37.848309
NCVOG0020															scaffold_199								scaffold_376	scaffold_1		NODE_58_length_86318_cov_6.393908																			NODE_683_length_15959_cov_20.278240					NODE_1_length_136617_cov_23.850161						NODE_973_length_11749_cov_14.436600	NODE_99_length_100755_cov_9.380252					scaffold_11		NODE_1109_length_11516_cov_36.448641					NODE_706_length_3400_cov_12.951249						NODE_177_length_16321_cov_38.176054
NCVOG0021	NODE_277_length_5604_cov_20.858875		Supercontig_10	scaffold_378	scaffold_8	scaffold_561					scaffold_41	scaffold_2		scaffold_301	scaffold_159	NODE_386_length_20655_cov_8.653416	NODE_478_length_17280_cov_11.641574		NODE_811_length_7828_cov_3.957167	NODE_1447_length_2299_cov_6.702070	scaffold_12	scaffold_290	scaffold_35	scaffold_6		NODE_864_length_5983_cov_10.657298	scaffold_31				scaffold_51	scaffold_8		NODE_10_length_430446_cov_12.622280	NODE_35_length_193329_cov_14.106633	NODE_16_length_584986_cov_36.556405	NODE_3_length_1074072_cov_22.587369	NODE_31_length_299472_cov_22.532223	scaffold_88	scaffold_70	scaffold_89		scaffold_198	scaffold_6	NODE_292_length_26214_cov_9.688335	NODE_422_length_7633_cov_34.371758	NODE_6_length_287573_cov_6.588797		scaffold_506	NODE_9095_length_679_cov_17.001661	scaffold_37	NODE_1344_length_6248_cov_3.168692			c_7180000048988	NODE_47_length_75320_cov_12.274657	NODE_424_length_12969_cov_18.512023		scaffold_30	scaffold_226	NODE_693_length_12580_cov_6.840438	scaffold_57	scaffold_16		scaffold_4		NODE_1518_length_7786_cov_43.264107		NODE_66_length_99248_cov_8.293755	NODE_8453_length_308_cov_5.748918		Supercontig_1		scaffold_13	
NCVOG0022	NODE_14_length_346647_cov_16.546608	NODE_5_length_287051_cov_9.368072					NODE_485					scaffold_116								NODE_348_length_14840_cov_6.205446											scaffold_7										scaffold_176									NODE_4309_length_993_cov_13.301310											NODE_95_length_37703_cov_6.124010	scaffold_102		NODE_2939_length_4595_cov_43.669101				NODE_781_length_6806_cov_9.293506		NODE_529_length_22228_cov_3.815494					
NCVOG0023	NODE_14_length_346647_cov_16.546608	NODE_118_length_32235_cov_13.626376	Supercontig_16	scaffold_21			NODE_20			NODE_1494_length_7862_cov_14.728838	scaffold_149	scaffold_116					NODE_281_length_32886_cov_18.626932	NODE_196_length_7447_cov_6.083718	NODE_297_length_28364_cov_4.995758	NODE_5434_length_515_cov_7.105023	scaffold_7		scaffold_118						NODE_512_length_10017_cov_8.925352	NODE_779_length_4370_cov_4.193571	scaffold_14	scaffold_38	NODE_57_length_15914_cov_13.334154	NODE_103_length_51229_cov_154.943932	NODE_198_length_11565_cov_14.632573	NODE_103_length_6261_cov_35.750162	NODE_156_length_4061_cov_18.306978	NODE_28_length_317182_cov_48.523663	scaffold_201		scaffold_21			scaffold_35			NODE_149_length_53654_cov_6.160320	NODE_346_length_17028_cov_60.110082	scaffold_630	NODE_1042_length_4268_cov_10.836793			NODE_1865_length_1812_cov_23.224784		d_7180000084879			NODE_2977_length_5028_cov_27.378307	scaffold_89	scaffold_23	NODE_5052_length_1322_cov_3.893976	scaffold_272	scaffold_3	NODE_10745_length_386_cov_33.585761	scaffold_385	NODE_332_length_6487_cov_3.918409	NODE_2204_length_4059_cov_171.173782	NODE_649_length_12678_cov_6.907547	NODE_4796_length_613_cov_27.544776	NODE_201_length_34371_cov_4.074240		Supercontig_8	NODE_123_length_37072_cov_39.204136	scaffold_28	
NCVOG0024				scaffold_87																																													scaffold_148																				NODE_2390_length_2242_cov_17.266975				NODE_1127_length_6809_cov_33.397356		
NCVOG0025	NODE_47_length_175474_cov_20.990365	NODE_433_length_18296_cov_25.118448	Supercontig_10	scaffold_15	scaffold_4	scaffold_371	NODE_5503		NODE_1775_length_1704_cov_181.873387	NODE_1716_length_6685_cov_14.108808	scaffold_6778	scaffold_25	scaffold_829	scaffold_6	scaffold_23	NODE_29_length_159248_cov_8.739538	NODE_175_length_52930_cov_10.063781	NODE_2108_length_2862_cov_8.072531	NODE_62_length_91865_cov_4.882109	NODE_78_length_88636_cov_6.229790	scaffold_40	scaffold_88	scaffold_25	scaffold_7	NODE_638_length_10753_cov_31.441738	NODE_282_length_31532_cov_6.053346	scaffold_171		NODE_230_length_38168_cov_9.815521	NODE_414_length_17386_cov_4.579969	scaffold_18	scaffold_30	NODE_1_length_1869972_cov_16.027777	NODE_6_length_502619_cov_12.428014	NODE_80_length_101339_cov_14.030841	NODE_1_length_1080013_cov_36.967135	NODE_1_length_1433616_cov_22.521251	NODE_49_length_128802_cov_72.116527	scaffold_3	scaffold_416	scaffold_16	scaffold_7	scaffold_2147	scaffold_1	NODE_75_length_51870_cov_22.150928	NODE_934_length_3742_cov_23.756071	NODE_332_length_18094_cov_6.563357	NODE_4022_length_751_cov_21.476261	scaffold_241	NODE_41386_length_158_cov_25.827160	scaffold_8	NODE_160_length_67870_cov_5.640936	NODE_36_length_27783_cov_25.933985	scaffold_79	c_7180000050566	NODE_496_length_26567_cov_13.269886	NODE_120_length_85893_cov_23.836021	NODE_1484_length_9003_cov_16.021398	scaffold_2	scaffold_123	NODE_5_length_78089_cov_5.103317	scaffold_1	scaffold_2	NODE_1958_length_7012_cov_30.726316	scaffold_131	NODE_4145_length_1800_cov_7.396402	NODE_296_length_29329_cov_105.229010	NODE_519_length_21436_cov_4.710848	NODE_1389_length_2673_cov_27.427966	NODE_37_length_60833_cov_4.208440		Supercontig_16	NODE_88_length_41691_cov_34.312034	scaffold_10	NODE_6785_length_2513_cov_24.420599
