VOG	Allomyces_arbuscula_Burma_1F	Allomyces_javanicus_California_12	Allomyces_macrogynus_ATCC_38327	Anaeromyces_robustus_v1.0	Batrachochytrium_dendrobatidis_JAM81_v1.0	Blastocladiella_britannica_v1.0	Blyttiomyces_helicus_single-cell_v1.0	Blyttiomyces_sp	Boothiomyces_macroporosum_PLAUS21	Borealophlyctis_nickersoniae_WJD170	Caecomyces_churrovis_A_v1.0	Catenaria_anguillulae_PL171_v2.0	Caulochytrium_protostelioides_ATCC_52028_single-cell_v1.0	Caulochytrium_protostelioides_ATCC_52028_v1.0	Chytridium_lagenaria_Arg66_v1.0	Chytriomyces_hyalinus_ARG085	Chytriomyces_hyalinus_ARG121	Chytriomyces_hyalinus_JEL0117	Chytriomyces_hyalinus_JEL0176	Chytriomyces_hyalinus_JEL0345	Chytriomyces_hyalinus_JEL632_v1.0	Chytriomyces_sp._MP_71_v1.0	Cladochytrium_polystomum_WB228_v1.0	Cladochytrium_replicatum_JEL714_v1.0	Cladochytrium_tenue_C_tenue	Dinochytrium_kinnereticum_KLL_TL_06062013	Entophlyctis_helioformis_JEL805_v1.0	Entophlyctis_luteolus_JEL0120	Entophlyctis_luteolus_JEL0129	Entophlyctis_sp	Fimicolochytrium_jonesii_JEL569_v1.0	Gaertneriomyces_semiglobifer_Barr_43_v1.0	Gaertneriomyces_sp	Geranomyces_michiganensis_JEL0563	Geranomyces_variabilis_JEL0379	Geranomyces_variabilis_JEL0389	Geranomyces_variabilis_JEL0566	Geranomyces_variabilis_JEL0567	Geranomyces_variabilis_JEL559_v1.0	Globomyces_pollinis-pini_Arg68_v1.0	Gonapodya_prolifera_v1.0	Gorgonomyces_haynaldii_MP57_v1.0	Homolaphlyctis_polyrhiza_JEL142_v1.0	Hyaloraphidium_curvatum_SAG235-1_v1.0	Irineochytrium_annulatum_JEL0729	Kappamyces_sp	Lobulomyces_angularis_JEL0522	Lobulomyces_sp	Neocallimastix_californiae_G1_v1.0	Nowakowskiella_sp	Obelidium_mucronatum_JEL802_v1.0	Paranamyces_uniporus_JEL0695	Paraphysoderma_sedebokerense_JEL0847	Paraphysoderma_sedebokerense_JEL821_v1.0	Pecoramyces_ruminatium_C1A	Phlyctochytrium_bullatum_JEL0754	Phlyctochytrium_planicorne_JEL0388	Physocladia_obscura_JEL0513	Piromyces_finnis_v3.0	Piromyces_sp._E2_v1.0	Podochytrium_sp	Polychytrium_aggregatum_JEL109_v1.0	Powellomyces_hirtus_BR81_v1.0	Quaeritorhiza_haematococci_JEL0916	Rhizoclosmatium_globosum_JEL800_v1.0	Rhizoclosmatium_hyalinus_JEL0917	Rhizophlyctis_rosea_JEL0318	Rhizophlyctis_rosea_JEL0764	Rhizophydium_sp	Siphonaria_sp	SmithFen_BAUOG	Spizellomyces_punctatus_DAOM_BR117	Thoreauomyces_humboldtii_JEL0095	Triparticalcar_arcticum_BR59_v1.0	Unknown_unknown_JEL0888
NCVOG0013	5.4e-12		6.3e-12	1.1e-21	1.4e-19	1.6e-18	6.9e-12		4.1e-35	1.4e-20	1.5e-20	3.4e-15	5.5e-15	5.9e-15	8e-11	4.6e-16	2.7e-15	1.2e-23	5.2e-15	1.2e-15	3.6e-15		5.3e-27	8.5e-23	1.6e-15	2.5e-15	7.7e-18		1.3e-16	2.2e-15	5.1e-14	1.3e-13	1e-11	1.4e-12	5.9e-13	8.9e-13	5.4e-12	3.1e-12	4.3e-14	5.5e-20	1e-24	3.4e-17		2.6e-26	4.4e-20	7e-22		1.3e-11	1.1e-20	4.9e-36	4.3e-28	7.7e-21	8.9e-27			5.3e-12	5.2e-15	1e-24	5.4e-21	1.7e-20	1.2e-13	5.1e-26	4.4e-16	2e-17	1.2e-29	5.4e-31	2.6e-13	4.3e-23	1.8e-33	3.1e-24		2.6e-19			6.2e-21
NCVOG0014	5.2e-13	3.2e-11	1.1e-12	1.1e-25	6.8e-22	3.9e-11			2.1e-30	6.6e-30	1.3e-23	1.2e-11	6.7e-17	7.2e-17	9.2e-14	5.9e-17	3.2e-15	3.3e-20	2.4e-13	3e-14	4.1e-16	1.2e-19	8.5e-23	4.1e-22	3.1e-23	6.9e-26	1.7e-20		6.2e-18	1.1e-17	8.8e-11	4e-14	2.5e-12	2.3e-17	2.5e-16	3.7e-16	2.8e-16	7.2e-16	1e-17	2.6e-16	4.5e-21	3.2e-20		3.3e-21	1.1e-13	1.1e-21			3.5e-24	2.1e-31	3e-24	8.2e-20	9e-25	7.6e-12	1.7e-18	7.6e-18	5.5e-14	2e-20	5e-25	1e-24	6.7e-18	2.7e-26	2.4e-13	3.1e-16	1.1e-25	2.2e-25	2.1e-18	5.8e-19	1.9e-23	9e-22		9.3e-21			8e-28
NCVOG0015				1.6e-18	1.1e-13				2.1e-22	4e-17	2.2e-19		2.2e-12	2.4e-12		7.2e-14	3.9e-14	3.5e-19					4.2e-20	2.7e-19	1.8e-14	2.8e-19			5.1e-19	1.1e-18		7.9e-11		8.7e-12	6.7e-12	4.7e-12	2.4e-11	1.6e-11	2.3e-13	1.7e-14	7.6e-23	2.6e-17		1.2e-19		5e-23			4.9e-18	7e-25	2.1e-21	1.6e-16	8.6e-20	5.8e-11				3.2e-24	4.8e-19	6.5e-19	5.4e-13	8.5e-24		8.1e-25	9.8e-22	3e-20	4.1e-14	4.4e-16	4e-26	2e-13		6.6e-13			3e-19
NCVOG0017	7.7e-11		8.6e-12			2e-11	4e-14		3.2e-25					3.1e-20		4.5e-24	1.1e-12	5.5e-21	7e-15							8.1e-11			6e-13	9.3e-14	7.6e-11											8.1e-15			9.4e-18					2.4e-21	9.6e-12	4.4e-35	1.3e-14			1.7e-14		7e-11			3e-24				9.8e-17	2.3e-22			2.9e-22	5.6e-18					5e-14
NCVOG0018	5.5e-43	7.2e-11	1.9e-17	3.8e-29		1.1e-21	1.1e-40		8.3e-21	3.3e-13	3e-28		3e-12	3.8e-36	4.5e-42	5.1e-33	1e-33	2.9e-18	8.7e-27	1.3e-32	8.9e-42	1.5e-24	3.5e-15	1.1e-24		7e-13	3.4e-11		1e-33	6.6e-25	4.8e-22	9.9e-19			1.7e-13	5.1e-17	1.6e-13			2.6e-14	6.2e-21			2e-19	1.9e-19		3.8e-17		8.7e-22	4.6e-23	8e-38	6e-35	4.7e-22		4.2e-17	2.6e-17		4.6e-25	3.4e-18	7.9e-25	6.4e-18	4.4e-37		5.9e-17	3.4e-31	4.6e-26	1.4e-13	2.1e-22	1.6e-21	2e-27		1.9e-12	1.5e-20	2.8e-12	6.1e-23
NCVOG0020															1.5e-29								3.3e-81	2.6e-39		2.8e-72																			3e-90					2e-57						7.3e-37	2.6e-27					2.1e-36		4.7e-50					1.8e-59						4.8e-99
NCVOG0021	1.6e-24		3.1e-16	8.4e-66	9.5e-18	9.1e-24					2.4e-15	8.5e-21		6.1e-28	5.7e-77	2.3e-24	1.7e-28		2.7e-25	7.8e-16	1.5e-32	2.3e-17	5.3e-54	2e-17		3.3e-12	9.5e-33				4.5e-28	7.5e-16		5.4e-16	1.5e-22	1.1e-23	4.5e-19	1.2e-23	4.9e-24	6.4e-11	2e-25		7.7e-11	4e-15	3.9e-38	6.4e-33	8.6e-11		6.8e-38	4.4e-35	1.4e-27	9.7e-20			2.4e-20	2e-14	1.5e-40		7e-25	2e-32	1.6e-12	3.1e-53	1.3e-41		5.6e-46		2e-15		3.3e-25	9.6e-17		6.3e-31		8.4e-25	
NCVOG0022	2.2e-18	8.9e-34					1.1e-21					3.4e-20								8e-21											4.1e-15										2.6e-20									3.4e-19											1.5e-28	8.9e-58		3.1e-32				2.8e-19		9.9e-34					
NCVOG0023	9.8e-39	2.5e-43	6.3e-27	2e-31			5e-44			4.6e-34	1.9e-12	2.8e-37					5e-33	2.6e-49	1e-37	5.9e-40	1.6e-33		1.1e-42						9.4e-64	5.3e-65	2.8e-43	2.1e-27	1.1e-36	7.1e-46	1.9e-44	7.4e-46	4.2e-20	3.4e-45	8.6e-48		4.5e-40			4.5e-53			1e-36	2.8e-39	8e-34	2.6e-44			3.8e-49		5.5e-24			7.4e-46	2.7e-32	6.3e-26	5.5e-42	7.4e-29	3.3e-21	6.3e-46	1.7e-40	4.9e-53	1.3e-41	4.5e-36	3.5e-49	5.1e-45		2.1e-38	1.5e-40	8.6e-36	
NCVOG0024				8.3e-15																																													9.4e-13																				1.8e-12				2.7e-16		
NCVOG0025	2.2e-23	3.2e-21	3.8e-24	9.8e-28	1.2e-22	1.9e-25	1.4e-14		1.8e-27	2.1e-21	3.5e-25	1.6e-30	4.9e-29	9.4e-30	1.2e-17	6.7e-20	2.2e-19	1.3e-23	5.1e-20	5.1e-22	3.8e-20	1.1e-24	3.3e-24	2.1e-22	4.3e-24	2.3e-17	7e-20		4.5e-26	5.8e-27	8.4e-17	2.9e-25	9.4e-21	1.4e-16	9.8e-16	1.7e-17	2.3e-18	6.3e-18	1.8e-19	1.9e-18	1.2e-13	6e-25	2.1e-23	2.5e-30	5.1e-16	1.2e-22	7.7e-16	1.6e-16	4.7e-26	4.3e-33	1.9e-23	2.9e-24	9.6e-29	5.5e-18	3.5e-26	2.8e-18	5e-19	2.9e-24	1.4e-27	3.7e-26	3.5e-21	2.1e-16	4.3e-18	8e-19	5.3e-19	7.8e-22	9.4e-17	6.4e-17	7.4e-34	6.2e-18		1.8e-29	3.9e-16	5.1e-28	2e-34
NCVOG0027				5.7e-13			6.5e-13			2.7e-20																																					5.2e-12		4.2e-11																										
NCVOG0029	7.9e-45	1e-63	6.4e-46	4.4e-86	9.5e-53	4.6e-47			5e-53	2.1e-17	1.4e-72	1e-51	4.2e-32	6.2e-53		2.5e-19	8.2e-19	4.8e-24	3.3e-21	4.7e-19	2.4e-20	1.5e-19	1.4e-12	4.7e-18	2.2e-23	3.4e-12	2.1e-17		6.5e-24	1.4e-22	1.7e-23	1.1e-69	2.8e-54							3.3e-30	9e-16	5.5e-39	3e-18	3.9e-24	1.4e-58	5.3e-25	1.2e-15	9.8e-16	1.4e-19	5.8e-33	2e-15	1.5e-31	3.2e-33	9.4e-20	8.4e-48	3.3e-11		2.4e-23	1.7e-78	5.3e-68	3.9e-25	4.6e-13	1.5e-31	2e-14	3.2e-19	2.8e-24	1.7e-11		2.1e-46	7e-25			5.7e-23	1.4e-15	9.4e-34
NCVOG0030	1e-46	7.8e-56	1.2e-47	1.7e-23	2.5e-29	4.1e-28			9.5e-61	1.9e-28	6.5e-52	2.6e-27	2.6e-26	3.2e-45	3e-28	4.4e-27	2.8e-27	8.5e-37	7.4e-27	3.1e-27	6.6e-29	3.1e-29	1.1e-28	1.1e-28	6.7e-28	2.6e-50	6.5e-30		9.5e-47	5.1e-28	2.9e-35	4.9e-39	3.5e-39	1.7e-27	4.6e-27	1.4e-27	3.9e-27	4.7e-27	1.4e-28	2.3e-21	3.7e-29	4.5e-43	5e-31	2.9e-30	7.9e-30	2.8e-29	5.1e-16	2.1e-16	4.9e-42	1.3e-43	2.8e-29	1.2e-44	2.9e-30	2.5e-28	2.1e-42	1.7e-55	2.6e-26	3.8e-43	5e-53	1.2e-53	6e-51	8.4e-41	5.1e-29	2.2e-27	2.9e-28	2e-38	4.6e-27	8.7e-28	9.5e-63	4.8e-38		3.5e-28	8.4e-28	3.6e-32	4.8e-38
NCVOG0031				7.7e-23			1.6e-22																								9.8e-15		7.6e-17	5e-18													6.3e-14	2.2e-20	8.4e-22				4.3e-22		1.1e-13				1.8e-21	4.9e-15				3.3e-21					4e-22						
NCVOG0032	3.1e-21	1e-14	1.9e-24	1.2e-17	2.1e-29	5.2e-25	1.1e-16		2.3e-20	9.4e-22	1.7e-17	6.9e-29	7.3e-23	2e-25	2e-15	1.9e-21	7.8e-22	3.1e-20	4.8e-26	4.8e-22	3e-23	3.5e-20	1.7e-17	3.6e-18	1e-23	1.6e-17	1.7e-20		1.6e-27	5.6e-28	2.2e-22	1.3e-22	5.8e-22	8.2e-16	2.5e-18	2.5e-20	1.1e-20	1e-20	2.9e-22	7e-18	2.2e-14	3.2e-26	7.7e-19	4.3e-25	7.5e-29	1.4e-39	8.3e-14	2.7e-15	6.5e-18	3.2e-23	2.6e-21	1.3e-25	1.9e-20	1.8e-18		3e-15	9.6e-16	4.9e-23	3.6e-18	1.2e-17	1.6e-22	2.7e-17	1.7e-26	6.5e-23	1.4e-24	8.8e-21	4.1e-29	9.1e-20	2.9e-29	2.1e-20		1.1e-22	4.3e-19	3.5e-24	5.7e-15
NCVOG0033											8.7e-14																															2.2e-13			2.8e-75			8.1e-12	2.1e-11																										
NCVOG0034										4.4e-20						6.8e-15	2.5e-14	1.6e-23	2.6e-15	3e-14	1.7e-17	1.6e-16	5.6e-11						1.7e-21	1.4e-19	1.5e-11	5.9e-14													1.4e-21					1.8e-18	3.2e-11	7e-15						1.5e-11			1.8e-14		4.7e-13		6.2e-15					5e-19		5.8e-11	2.6e-27		3.9e-16
NCVOG0035																		9.4e-11																																																									
NCVOG0036	3e-25	2.3e-25	1.1e-25	1.9e-24	4.6e-14	3.1e-25	4.7e-16		2e-14	3.6e-15	4.2e-15	5.8e-26		2.2e-23	8.6e-15	5.2e-15	2.7e-15	1.3e-21	4.5e-15	1.1e-14	2.9e-17	1.9e-16	1.3e-15	1.3e-18	5.2e-15	7.5e-23	3.8e-17		5.1e-29	3.8e-31	6.9e-18	5.4e-17	1.4e-12	1.2e-15	2.5e-16	6.3e-16	1.8e-15	2.2e-15	6.3e-17	1.3e-19	2.4e-16	1.3e-25	1.2e-17	1.2e-16		2.8e-18			5e-23	2.8e-22	1e-19	8e-18	1.2e-20	1.1e-17	1.7e-12	1.2e-26	4.2e-16	1.9e-21	1.9e-25	1.9e-23	2.7e-18	7.5e-15	1.8e-15	1.9e-26	1.8e-16	9.8e-20	2e-15	2e-13	1.1e-33	6.2e-21		4.3e-17	2e-15	9.4e-17	
NCVOG0037	0.0	0.0	0.0	5.7e-59	3.1e-49	3e-115	4e-119		1.7e-59	2.6e-34	4.4e-86	8.7e-117	1.7e-90	1.9e-90	3.4e-38	2.1e-43	1.6e-43	8.6e-62	1.9e-44	4.9e-98	2e-45	6.3e-45	2.3e-35	6.9e-54	2.2e-63	4.7e-46	2.9e-81		1.2e-56	1e-55	1.2e-76	1.8e-178	8.6e-179	4.5e-87	3.5e-85	3.4e-85	5e-84	1.3e-83	3.7e-85	1e-33	5.3e-32	4.7e-155	2.9e-58	3.2e-40	2.9e-52	4e-127	1.2e-32	5.5e-32	6e-58	1.1e-126	5.5e-28	1.3e-142	3.6e-95	1.2e-37	9.3e-12	3.3e-94	9.5e-37	1.6e-49	4.5e-161	6.3e-161	3.3e-65	2.2e-32	7.1e-100	2e-57	2.3e-44	5.3e-40	9.8e-37	5.9e-33	2.6e-126	3.4e-26		7.9e-34	6.6e-150	2.9e-160	1.3e-32
NCVOG0038	1.2e-92	8.9e-105	1.5e-67	2.4e-62		6.7e-68	1.1e-44		5.1e-33		4.5e-21	1e-72	2.1e-37	7.9e-67	2.7e-16	2.9e-22	2.2e-22	2.2e-32	8.5e-21	2.2e-46	5.7e-43	6.7e-23	3.8e-25	1.1e-18	5.5e-25	1e-12	1.8e-14		2.4e-26	6.2e-27	1.1e-20	1.4e-61	1.2e-63	2.7e-32	1.5e-31	2.1e-33	1.1e-31	8.1e-32	1.8e-33	3.1e-28	4.2e-71	4.4e-61	3.1e-51	1.2e-22	3.4e-12	5.4e-42	9.9e-35	3.2e-27	4.2e-62	1.6e-66	1.1e-14	2e-33	4e-51	1.3e-13	1.9e-33	3e-20	7.7e-12	1.1e-12	1.3e-64	2e-63	3e-27	1.7e-52	1.9e-34	1.5e-85	8.4e-19	3.3e-22		6.9e-29	3.7e-61	1.9e-23		1.5e-30	1.3e-76	2.7e-25	
NCVOG0040										9.8e-11						2.7e-11			2.8e-13																															2.1e-13														1.5e-14						2.8e-11					
NCVOG0044																		4.6e-14											9.6e-17	1.8e-15														1.3e-18							1.7e-13										2.5e-14					8.7e-15				6.1e-14					
NCVOG0046	1.2e-12	3.7e-14	1.5e-13	2.4e-14					6.6e-27	1.8e-15	1.1e-11	2.2e-14	2e-14	1.7e-13		4.7e-14	2.2e-11	4e-17	6e-19	6.6e-11	9.8e-13	8e-13	2.1e-12	3.7e-13		5.1e-11			1.2e-15	3e-14	2.3e-17	1.5e-14	6.3e-13	3.9e-13	2.9e-13	2.4e-13	6.8e-13	8.2e-13	3.1e-15		3.2e-17	3.6e-15		9.1e-15	2.4e-17	4.1e-11			7.4e-13	1.5e-15	1.6e-12	2e-17	2.5e-17				5e-14		8.3e-14	5.4e-15	1.1e-13			2e-19	3.8e-14	1.7e-17		1.7e-15	6.4e-23	9.4e-19				5.1e-14	5.7e-16
NCVOG0047																																								1.1e-14												3.7e-17												4.1e-11					1.5e-25						
NCVOG0050																																																							7.4e-11																				
NCVOG0052	3.6e-13	1.3e-15	1.7e-14	1.4e-11	2.7e-13	7.7e-13	5.8e-12		1.7e-24	4e-15		6.9e-12	7.7e-11		1.2e-13										1.1e-17	1.3e-15	1.3e-15				6e-16	1.7e-15	3e-12	2.4e-11		4.2e-11			1.6e-11	1.4e-11	6.2e-16	2.3e-19	2.4e-11	1e-16	1.3e-24	1.5e-15			2e-11	7.4e-18		3.5e-13	4.6e-12	5.2e-12	7.4e-13		1.6e-11		2.1e-11	2.3e-11		8.5e-11	3.2e-11	3.8e-18			3.7e-22	1.5e-13	3.2e-19			1.6e-13	4.6e-15		
NCVOG0054																																													1.2e-13																														
NCVOG0055	3.9e-18		5.1e-23	5.4e-11	1.3e-12	2.3e-21	2.7e-22		4.4e-20	1.2e-23		4.2e-23	4.1e-22	1e-31	1.6e-16	1.5e-27	5.5e-28	3e-20	1.7e-25	1.6e-21	8.7e-22	1.4e-19	4e-24	6.3e-20	9.2e-16	5.9e-19	3.5e-20		2.5e-23	1.1e-25	3.3e-23	2e-21	3.2e-15	3e-23	1.4e-21	2.7e-23	2.9e-21	9.7e-32	2.1e-23	1.1e-35	2.9e-17	1.1e-20	6.3e-15		8e-26	4.1e-31	5.2e-17			1.4e-21	4.3e-17	2.2e-29	6.2e-15	2.3e-12		4.8e-16	1e-11	4.9e-16		1.5e-14	1.3e-14	7.8e-21	3.2e-17		3.7e-24	8.4e-22	2.2e-19	3.9e-25	1.7e-43	1e-17	2e-21	1.8e-19	1.6e-18	2e-17	3.1e-15
NCVOG0059	2.5e-13	4.8e-11	1.6e-14			2.6e-12	9.9e-24		3.5e-20			4.7e-12						2.8e-18		1.8e-20						3.4e-19					2e-23	1.1e-17	7.2e-15	3.4e-14	9e-14	5.3e-13	4.9e-13	6.7e-15	1.9e-16			1.6e-18						2.7e-11					2.6e-11	2.3e-15				5.2e-21			1e-17		1.8e-20		9e-14	4.6e-11		1.1e-21	8.2e-22				4.9e-14		
NCVOG0061	2.6e-33	1e-30	9.9e-35			5.9e-11			1.4e-15	1.7e-29		1.7e-22			3.1e-28			1.1e-27					4.6e-13	2.1e-32		1.1e-41	4.9e-32					3.5e-12		1.9e-31	4.5e-30	1.6e-30	4.7e-30	4.6e-30	1.4e-31			6e-38	1.1e-24	4.6e-11	6.8e-50	3.5e-15				2.2e-18		2.3e-33	3.7e-24			6.2e-42	9e-21					1e-15	1.4e-33		3.9e-19	5.7e-28			9e-23			3.5e-12	3.9e-14		1.6e-51
NCVOG0063																																6e-16										4.6e-12																																	
NCVOG0064	1.1e-14	1.8e-14	3.7e-15	9.2e-15		8.7e-17	1.5e-14			1.7e-11	6.1e-14	9.8e-17		6.3e-11	3.3e-12			7.8e-11			7.8e-12		3.6e-15	1.2e-11		5.9e-24			1.7e-12	1.2e-12	3.8e-17	4.7e-17	4.8e-12	1.1e-12	1.1e-12	6.1e-13	9.9e-13	2.5e-12	7.3e-14		1.4e-14	3.3e-13	7.2e-11	1.1e-15		3.7e-12			9.6e-14	4.5e-17	1.2e-11	1.9e-11	4.4e-13			1.1e-28	1.3e-14	8.6e-14	3.4e-15	3.1e-14	9e-16	2.2e-12	4.8e-14	1.1e-13		9.9e-16	1.5e-11	3.3e-13	1.4e-24	1.3e-16		4.1e-11	3.5e-11	1e-12	6e-15
NCVOG0065									1.1e-13																																											1.2e-12																	3.1e-13				4.4e-29		
